County Name,Year,Income Per Capita($)
"Napa, CA",2011,"48,859"
"Nevada, CA",2011,"47,859"
"Orange, CA",2011,"51,495"
"Placer, CA",2011,"49,641"
"Plumas, CA",2011,"39,682"
"Riverside, CA",2011,"32,196"
"Sacramento, CA",2011,"40,410"
"San Benito, CA",2011,"37,506"
"San Bernardino, CA",2011,"31,068"
"San Diego, CA",2011,"46,528"
"San Francisco, CA",2011,"81,698"
"San Joaquin, CA",2011,"33,468"
"San Luis Obispo, CA",2011,"42,699"
"San Mateo, CA",2011,"79,903"
"Santa Barbara, CA",2011,"48,888"
"Santa Clara, CA",2011,"66,406"
"Santa Cruz, CA",2011,"50,208"
"Shasta, CA",2011,"35,568"
"Sierra, CA",2011,"34,007"
"Siskiyou, CA",2011,"34,299"
"Solano, CA",2011,"39,036"
"Sonoma, CA",2011,"45,065"
"Stanislaus, CA",2011,"33,412"
"Sutter, CA",2011,"36,129"
"Tehama, CA",2011,"30,486"
"Trinity, CA",2011,"28,672"
"Tulare, CA",2011,"32,292"
"Tuolumne, CA",2011,"36,492"
"Ventura, CA",2011,"48,059"
"Yolo, CA",2011,"43,432"
"Yuba, CA",2011,"32,678"
"Adams, CO*",2011,"32,392"
"Alamosa, CO",2011,"29,960"
"Arapahoe, CO",2011,"46,792"
"Archuleta, CO",2011,"32,147"
"Baca, CO",2011,"43,794"
"Bent, CO",2011,"23,062"
"Boulder, CO*",2011,"52,146"
"Broomfield, CO*",2011,"56,320"
"Chaffee, CO",2011,"32,568"
"Cheyenne, CO",2011,"58,296"
"Clear Creek, CO",2011,"46,579"
"Conejos, CO",2011,"26,670"
"Costilla, CO",2011,"27,462"
"Crowley, CO",2011,"16,216"
"Custer, CO",2011,"34,297"
"Delta, CO",2011,"31,394"
"Denver, CO",2011,"54,237"
"Dolores, CO",2011,"29,618"
"Douglas, CO",2011,"56,706"
"Eagle, CO",2011,"46,386"
"Elbert, CO",2011,"48,300"
"El Paso, CO",2011,"40,127"
"Fremont, CO",2011,"26,738"
"Garfield, CO",2011,"40,312"
"Gilpin, CO",2011,"35,665"
"Grand, CO",2011,"32,810"
"Gunnison, CO",2011,"35,496"
"Hinsdale, CO",2011,"37,902"
"Huerfano, CO",2011,"32,110"
"Jackson, CO",2011,"39,800"
"Jefferson, CO*",2011,"47,339"
"Kiowa, CO",2011,"50,595"
"Kit Carson, CO",2011,"36,108"
"Lake, CO",2011,"27,550"
"La Plata, CO",2011,"43,351"
"Larimer, CO",2011,"39,106"
"Las Animas, CO",2011,"30,697"
"Lincoln, CO",2011,"27,977"
"Logan, CO",2011,"40,754"
"Mesa, CO",2011,"35,441"
"Mineral, CO",2011,"46,989"
"Moffat, CO",2011,"35,602"
"Montezuma, CO",2011,"32,445"
"Montrose, CO",2011,"30,501"
"Morgan, CO",2011,"34,229"
"Otero, CO",2011,"30,788"
"Ouray, CO",2011,"41,267"
"Park, CO",2011,"34,679"
"Phillips, CO",2011,"43,720"
"Pitkin, CO",2011,"95,519"
"Prowers, CO",2011,"33,910"
"Pueblo, CO",2011,"30,774"
"Rio Blanco, CO",2011,"41,123"
"Rio Grande, CO",2011,"34,523"
"Routt, CO",2011,"60,316"
"Saguache, CO",2011,"28,109"
"San Juan, CO",2011,"39,828"
"San Miguel, CO",2011,"50,964"
"Sedgwick, CO",2011,"47,159"
"Summit, CO",2011,"46,150"
"Teller, CO",2011,"41,183"
"Washington, CO",2011,"40,783"
"Weld, CO*",2011,"35,061"
"Yuma, CO",2011,"44,890"
"Fairfield, CT",2011,"104,090"
"Hartford, CT",2011,"53,351"
"Litchfield, CT",2011,"52,315"
"Middlesex, CT",2011,"54,911"
"New Haven, CT",2011,"46,784"
"New London, CT",2011,"48,443"
"Tolland, CT",2011,"47,234"
"Windham, CT",2011,"39,060"
"Kent, DE",2011,"35,362"
"New Castle, DE",2011,"48,462"
"Sussex, DE",2011,"38,569"
"District of Columbia, DC",2011,"67,441"
"Alachua, FL",2011,"36,768"
"Baker, FL",2011,"26,386"
"Bay, FL",2011,"37,720"
"Bradford, FL",2011,"26,167"
"Brevard, FL",2011,"38,166"
"Broward, FL",2011,"41,503"
"Calhoun, FL",2011,"23,447"
"Charlotte, FL",2011,"33,454"
"Citrus, FL",2011,"31,538"
"Clay, FL",2011,"35,211"
"Collier, FL",2011,"64,829"
"Columbia, FL",2011,"29,546"
"DeSoto, FL",2011,"22,489"
"Dixie, FL",2011,"21,636"
"Duval, FL",2011,"38,032"
"Escambia, FL",2011,"35,829"
"Flagler, FL",2011,"34,536"
"Franklin, FL",2011,"30,265"
"Gadsden, FL",2011,"29,229"
"Gilchrist, FL",2011,"26,902"
"Glades, FL",2011,"19,918"
"Gulf, FL",2011,"26,884"
"Hamilton, FL",2011,"22,076"
"Hardee, FL",2011,"24,008"
"Hendry, FL",2011,"25,754"
"Hernando, FL",2011,"31,001"
"Highlands, FL",2011,"29,590"
"Hillsborough, FL",2011,"42,244"
"Holmes, FL",2011,"25,742"
"Indian River, FL",2011,"57,520"
"Jackson, FL",2011,"27,869"
"Jefferson, FL",2011,"33,881"
"Lafayette, FL",2011,"20,650"
"Lake, FL",2011,"33,145"
"Lee, FL",2011,"41,399"
"Leon, FL",2011,"38,468"
"Levy, FL",2011,"28,558"
"Liberty, FL",2011,"22,562"
"Madison, FL",2011,"25,287"
"Manatee, FL",2011,"39,691"
"Marion, FL",2011,"31,219"
"Martin, FL",2011,"57,683"
"Miami-Dade, FL",2011,"38,971"
"Monroe, FL",2011,"62,254"
"Nassau, FL",2011,"44,937"
"Okaloosa, FL",2011,"41,438"
"Okeechobee, FL",2011,"25,400"
"Orange, FL",2011,"35,418"
"Osceola, FL",2011,"27,899"
"Palm Beach, FL",2011,"57,790"
"Pasco, FL",2011,"33,462"
"Pinellas, FL",2011,"43,457"
"Polk, FL",2011,"31,851"
"Putnam, FL",2011,"26,950"
"St. Johns, FL",2011,"55,131"
"St. Lucie, FL",2011,"31,847"
"Santa Rosa, FL",2011,"37,566"
"Sarasota, FL",2011,"47,573"
"Seminole, FL",2011,"37,805"
"Sumter, FL",2011,"33,495"
"Suwannee, FL",2011,"28,770"
"Taylor, FL",2011,"26,409"
"Union, FL",2011,"17,926"
"Volusia, FL",2011,"34,339"
"Wakulla, FL",2011,"29,686"
"Walton, FL",2011,"41,989"
"Washington, FL",2011,"26,144"
"Appling, GA",2011,"27,156"
"Atkinson, GA",2011,"23,613"
"Bacon, GA",2011,"26,523"
"Baker, GA",2011,"36,484"
"Baldwin, GA",2011,"27,588"
"Banks, GA",2011,"25,851"
"Barrow, GA",2011,"28,204"
"Bartow, GA",2011,"29,857"
"Ben Hill, GA",2011,"27,057"
"Berrien, GA",2011,"26,462"
"Bibb, GA",2011,"35,376"
"Bleckley, GA",2011,"29,617"
"Brantley, GA",2011,"22,157"
"Brooks, GA",2011,"30,913"
"Bryan, GA",2011,"44,458"
"Bulloch, GA",2011,"26,603"
"Burke, GA",2011,"29,758"
"Butts, GA",2011,"26,293"
"Calhoun, GA",2011,"22,750"
"Camden, GA",2011,"30,603"
"Candler, GA",2011,"25,778"
"Carroll, GA",2011,"30,511"
"Catoosa, GA",2011,"29,146"
"Charlton, GA",2011,"20,495"
"Chatham, GA",2011,"40,113"
"Chattahoochee, GA",2011,"32,128"
"Chattooga, GA",2011,"24,811"
"Cherokee, GA",2011,"38,364"
"Clarke, GA",2011,"27,184"
"Clay, GA",2011,"26,566"
"Clayton, GA",2011,"26,013"
"Clinch, GA",2011,"29,031"
"Cobb, GA",2011,"44,008"
"Coffee, GA",2011,"26,059"
"Colquitt, GA",2011,"27,661"
"Columbia, GA",2011,"41,865"
"Cook, GA",2011,"27,045"
"Coweta, GA",2011,"35,500"
"Crawford, GA",2011,"29,119"
"Crisp, GA",2011,"26,066"
"Dade, GA",2011,"26,544"
"Dawson, GA",2011,"32,726"
"Decatur, GA",2011,"31,702"
"DeKalb, GA",2011,"39,802"
"Dodge, GA",2011,"26,495"
"Dooly, GA",2011,"22,256"
"Dougherty, GA",2011,"31,647"
"Douglas, GA",2011,"29,805"
"Early, GA",2011,"33,169"
"Echols, GA",2011,"21,450"
"Effingham, GA",2011,"33,623"
"Elbert, GA",2011,"27,665"
"Emanuel, GA",2011,"27,877"
"Evans, GA",2011,"27,257"
"Fannin, GA",2011,"26,477"
"Fayette, GA",2011,"47,801"
"Floyd, GA",2011,"31,317"
"Forsyth, GA",2011,"49,016"
"Franklin, GA",2011,"27,359"
"Fulton, GA",2011,"63,302"
"Gilmer, GA",2011,"25,732"
"Glascock, GA",2011,"26,711"
"Glynn, GA",2011,"37,592"
"Gordon, GA",2011,"27,361"
"Grady, GA",2011,"29,821"
"Greene, GA",2011,"40,221"
"Gwinnett, GA",2011,"33,707"
"Habersham, GA",2011,"26,896"
"Hall, GA",2011,"32,493"
"Hancock, GA",2011,"22,298"
"Haralson, GA",2011,"28,659"
"Harris, GA",2011,"38,543"
"Hart, GA",2011,"28,235"
"Heard, GA",2011,"25,166"
"Henry, GA",2011,"31,714"
"Houston, GA",2011,"37,019"
"Irwin, GA",2011,"29,463"
"Jackson, GA",2011,"30,349"
"Jasper, GA",2011,"27,608"
"Jeff Davis, GA",2011,"26,338"
"Jefferson, GA",2011,"27,742"
"Jenkins, GA",2011,"27,465"
"Johnson, GA",2011,"21,218"
"Jones, GA",2011,"30,934"
"Lamar, GA",2011,"27,529"
"Lanier, GA",2011,"22,699"
"Laurens, GA",2011,"30,597"
"Lee, GA",2011,"37,940"
"Liberty, GA",2011,"30,090"
"Lincoln, GA",2011,"29,198"
"Long, GA",2011,"27,368"
"Lowndes, GA",2011,"30,961"
"Lumpkin, GA",2011,"28,755"
"McDuffie, GA",2011,"29,392"
"McIntosh, GA",2011,"23,426"
"Macon, GA",2011,"23,248"
"Madison, GA",2011,"28,145"
"Marion, GA",2011,"22,149"
"Meriwether, GA",2011,"28,715"
"Miller, GA",2011,"34,842"
"Mitchell, GA",2011,"27,965"
"Monroe, GA",2011,"36,109"
"Montgomery, GA",2011,"25,372"
"Morgan, GA",2011,"35,688"
"Murray, GA",2011,"23,781"
"Muscogee, GA",2011,"36,914"
"Newton, GA",2011,"27,609"
"Oconee, GA",2011,"46,910"
"Oglethorpe, GA",2011,"28,528"
"Paulding, GA",2011,"29,307"
"Peach, GA",2011,"30,597"
"Pickens, GA",2011,"35,810"
"Pierce, GA",2011,"29,563"
"Pike, GA",2011,"30,610"
"Polk, GA",2011,"26,628"
"Pulaski, GA",2011,"25,647"
"Putnam, GA",2011,"32,140"
"Quitman, GA",2011,"23,857"
"Rabun, GA",2011,"31,124"
"Randolph, GA",2011,"27,535"
"Richmond, GA",2011,"32,382"
"Rockdale, GA",2011,"30,846"
"Schley, GA",2011,"25,629"
"Screven, GA",2011,"27,671"
"Seminole, GA",2011,"35,813"
"Spalding, GA",2011,"29,064"
"Stephens, GA",2011,"29,959"
"Stewart, GA",2011,"20,963"
"Sumter, GA",2011,"29,945"
"Talbot, GA",2011,"26,648"
"Taliaferro, GA",2011,"24,736"
"Tattnall, GA",2011,"23,891"
"Taylor, GA",2011,"25,308"
"Telfair, GA",2011,"18,334"
"Terrell, GA",2011,"34,508"
"Thomas, GA",2011,"35,903"
"Tift, GA",2011,"30,857"
"Toombs, GA",2011,"30,513"
"Towns, GA",2011,"30,058"
"Treutlen, GA",2011,"25,715"
"Troup, GA",2011,"31,598"
"Turner, GA",2011,"29,421"
"Twiggs, GA",2011,"28,892"
"Union, GA",2011,"29,577"
"Upson, GA",2011,"28,753"
"Walker, GA",2011,"26,842"
"Walton, GA",2011,"30,702"
"Ware, GA",2011,"28,018"
"Warren, GA",2011,"27,122"
"Washington, GA",2011,"28,554"
"Wayne, GA",2011,"28,572"
"Webster, GA",2011,"26,978"
"Wheeler, GA",2011,"16,016"
"White, GA",2011,"26,723"
"Whitfield, GA",2011,"27,688"
"Wilcox, GA",2011,"23,597"
"Wilkes, GA",2011,"29,725"
"Wilkinson, GA",2011,"28,512"
"Worth, GA",2011,"30,631"
"Hawaii, HI",2011,"32,837"
"Honolulu, HI",2011,"47,072"
"Kauai, HI",2011,"36,706"
"Maui + Kalawao, HI*",2011,"37,435"
"Ada, ID",2011,"39,657"
"Adams, ID",2011,"29,303"
"Bannock, ID",2011,"30,215"
"Bear Lake, ID",2011,"30,319"
"Benewah, ID",2011,"29,060"
"Bingham, ID",2011,"30,487"
"Blaine, ID",2011,"68,226"
"Boise, ID",2011,"31,855"
"Bonner, ID",2011,"31,745"
"Bonneville, ID",2011,"35,175"
"Boundary, ID",2011,"29,416"
"Butte, ID",2011,"31,875"
"Camas, ID",2011,"31,355"
"Canyon, ID",2011,"25,738"
"Caribou, ID",2011,"34,040"
"Cassia, ID",2011,"34,468"
"Clark, ID",2011,"33,966"
"Clearwater, ID",2011,"29,987"
"Custer, ID",2011,"35,848"
"Elmore, ID",2011,"29,771"
"Franklin, ID",2011,"27,300"
"Fremont (includes Yellowstone Park), ID",2011,"27,762"
"Gem, ID",2011,"28,087"
"Gooding, ID",2011,"43,492"
"Idaho, ID",2011,"27,002"
"Jefferson, ID",2011,"29,752"
"Jerome, ID",2011,"31,010"
"Kootenai, ID",2011,"33,734"
"Latah, ID",2011,"33,265"
"Lemhi, ID",2011,"31,338"
"Lewis, ID",2011,"45,889"
"Lincoln, ID",2011,"34,131"
"Madison, ID",2011,"19,580"
"Minidoka, ID",2011,"32,440"
"Nez Perce, ID",2011,"35,465"
"Oneida, ID",2011,"29,516"
"Owyhee, ID",2011,"28,483"
"Payette, ID",2011,"31,932"
"Power, ID",2011,"34,138"
"Shoshone, ID",2011,"30,812"
"Teton, ID",2011,"26,708"
"Twin Falls, ID",2011,"31,307"
"Valley, ID",2011,"35,610"
"Washington, ID",2011,"30,617"
"Adams, IL",2011,"38,090"
"Alexander, IL",2011,"26,529"
"Bond, IL",2011,"30,808"
"Boone, IL",2011,"37,247"
"Brown, IL",2011,"26,450"
"Bureau, IL",2011,"37,864"
"Calhoun, IL",2011,"35,892"
"Carroll, IL",2011,"39,969"
"Cass, IL",2011,"35,323"
"Champaign, IL",2011,"39,243"
"Christian, IL",2011,"37,450"
"Clark, IL",2011,"36,592"
"Clay, IL",2011,"34,242"
"Clinton, IL",2011,"38,530"
"Coles, IL",2011,"34,195"
"Cook, IL",2011,"45,831"
"Crawford, IL",2011,"40,471"
"Cumberland, IL",2011,"35,685"
"DeKalb, IL",2011,"33,936"
"De Witt, IL",2011,"41,383"
"Douglas, IL",2011,"43,171"
"DuPage, IL",2011,"55,568"
"Edgar, IL",2011,"35,183"
"Edwards, IL",2011,"34,824"
"Effingham, IL",2011,"41,129"
"Fayette, IL",2011,"30,705"
"Ford, IL",2011,"45,437"
"Franklin, IL",2011,"32,401"
"Fulton, IL",2011,"33,041"
"Gallatin, IL",2011,"38,421"
"Greene, IL",2011,"33,755"
"Grundy, IL",2011,"54,578"
"Hamilton, IL",2011,"35,550"
"Hancock, IL",2011,"37,843"
"Hardin, IL",2011,"30,536"
"Henderson, IL",2011,"36,658"
"Henry, IL",2011,"39,987"
"Iroquois, IL",2011,"38,868"
"Jackson, IL",2011,"32,051"
"Jasper, IL",2011,"38,852"
"Jefferson, IL",2011,"33,261"
"Jersey, IL",2011,"35,119"
"Jo Daviess, IL",2011,"39,973"
"Johnson, IL",2011,"28,010"
"Kane, IL",2011,"41,075"
"Kankakee, IL",2011,"33,799"
"Kendall, IL",2011,"40,045"
"Knox, IL",2011,"35,895"
"Lake, IL",2011,"60,289"
"LaSalle, IL",2011,"37,262"
"Lawrence, IL",2011,"33,909"
"Lee, IL",2011,"36,591"
"Livingston, IL",2011,"38,038"
"Logan, IL",2011,"32,867"
"McDonough, IL",2011,"34,053"
"McHenry, IL",2011,"43,652"
"McLean, IL",2011,"42,317"
"Macon, IL",2011,"41,582"
"Macoupin, IL",2011,"34,735"
"Madison, IL",2011,"38,100"
"Marion, IL",2011,"35,268"
"Marshall, IL",2011,"38,896"
"Mason, IL",2011,"37,965"
"Massac, IL",2011,"32,185"
"Menard, IL",2011,"39,676"
"Mercer, IL",2011,"40,716"
"Monroe, IL",2011,"46,141"
"Montgomery, IL",2011,"32,048"
"Morgan, IL",2011,"35,889"
"Moultrie, IL",2011,"51,054"
"Ogle, IL",2011,"38,551"
"Peoria, IL",2011,"45,828"
"Perry, IL",2011,"31,745"
"Piatt, IL",2011,"46,400"
"Pike, IL",2011,"34,285"
"Pope, IL",2011,"26,902"
"Pulaski, IL",2011,"33,116"
"Putnam, IL",2011,"45,091"
"Randolph, IL",2011,"31,541"
"Richland, IL",2011,"36,174"
"Rock Island, IL",2011,"39,076"
"St. Clair, IL",2011,"37,704"
"Saline, IL",2011,"34,737"
"Sangamon, IL",2011,"40,847"
"Schuyler, IL",2011,"37,598"
"Scott, IL",2011,"36,660"
"Shelby, IL",2011,"35,433"
"Stark, IL",2011,"39,612"
"Stephenson, IL",2011,"36,146"
"Tazewell, IL",2011,"40,639"
"Union, IL",2011,"35,218"
"Vermilion, IL",2011,"34,243"
"Wabash, IL",2011,"38,247"
"Warren, IL",2011,"35,645"
"Washington, IL",2011,"50,256"
"Wayne, IL",2011,"37,560"
"White, IL",2011,"42,597"
"Whiteside, IL",2011,"38,084"
"Will, IL",2011,"41,561"
"Williamson, IL",2011,"37,900"
"Winnebago, IL",2011,"34,953"
"Woodford, IL",2011,"44,375"
"Adams, IN",2011,"31,216"
"Allen, IN",2011,"36,663"
"Bartholomew, IN",2011,"40,423"
"Benton, IN",2011,"39,555"
"Blackford, IN",2011,"31,909"
"Boone, IN",2011,"55,441"
"Brown, IN",2011,"36,808"
"Carroll, IN",2011,"36,192"
"Cass, IN",2011,"31,711"
"Clark, IN",2011,"39,088"
"Clay, IN",2011,"31,552"
"Clinton, IN",2011,"32,161"
"Crawford, IN",2011,"27,324"
"Daviess, IN",2011,"34,180"
"Dearborn, IN",2011,"37,131"
"Decatur, IN",2011,"34,644"
"DeKalb, IN",2011,"34,499"
"Delaware, IN",2011,"29,440"
"Dubois, IN",2011,"44,523"
"Elkhart, IN",2011,"32,389"
"Fayette, IN",2011,"31,453"
"Floyd, IN",2011,"40,910"
"Fountain, IN",2011,"34,038"
"Franklin, IN",2011,"38,996"
"Fulton, IN",2011,"34,130"
"Gibson, IN",2011,"35,601"
"Grant, IN",2011,"31,995"
"Greene, IN",2011,"32,518"
"Hamilton, IN",2011,"57,334"
"Hancock, IN",2011,"40,237"
"Harrison, IN",2011,"34,608"
"Hendricks, IN",2011,"39,606"
"Henry, IN",2011,"30,471"
"Howard, IN",2011,"33,115"
"Huntington, IN",2011,"33,801"
"Jackson, IN",2011,"35,742"
"Jasper, IN",2011,"36,941"
"Jay, IN",2011,"32,486"
"Jefferson, IN",2011,"34,395"
"Jennings, IN",2011,"30,015"
"Johnson, IN",2011,"38,867"
"Knox, IN",2011,"36,148"
"Kosciusko, IN",2011,"36,712"
"Lagrange, IN",2011,"28,389"
"Lake, IN",2011,"35,798"
"LaPorte, IN",2011,"34,055"
"Lawrence, IN",2011,"32,361"
"Madison, IN",2011,"30,322"
"Marion, IN",2011,"44,655"
"Marshall, IN",2011,"33,162"
"Martin, IN",2011,"34,416"
"Miami, IN",2011,"27,478"
"Monroe, IN",2011,"32,315"
"Montgomery, IN",2011,"34,633"
"Morgan, IN",2011,"35,961"
"Newton, IN",2011,"34,618"
"Noble, IN",2011,"30,701"
"Ohio, IN",2011,"36,988"
"Orange, IN",2011,"30,457"
"Owen, IN",2011,"30,722"
"Parke, IN",2011,"29,263"
"Perry, IN",2011,"30,036"
"Pike, IN",2011,"32,173"
"Porter, IN",2011,"41,425"
"Posey, IN",2011,"41,221"
