County Name,Year,GDP($K)
"Pike, AL",2011,"1,157,262.00"
"Randolph, AL",2011,"375,502.00"
"Russell, AL",2011,"1,237,380.00"
"St. Clair, AL",2011,"1,479,855.00"
"Shelby, AL",2011,"7,850,353.00"
"Sumter, AL",2011,"333,225.00"
"Talladega, AL",2011,"2,592,257.00"
"Tallapoosa, AL",2011,"1,088,021.00"
"Tuscaloosa, AL",2011,"9,533,451.00"
"Walker, AL",2011,"1,831,404.00"
"Washington, AL",2011,"798,267.00"
"Wilcox, AL",2011,"364,949.00"
"Winston, AL",2011,"601,117.00"
"Aleutians East Borough, AK*",2011,"125,603.00"
"Aleutians West Census Area, AK*",2011,"334,449.00"
"Anchorage Municipality, AK",2011,"20,264,175.00"
"Bethel Census Area, AK*",2011,"603,358.00"
"Bristol Bay Borough, AK",2011,"112,371.00"
"Denali Borough, AK*",2011,"184,980.00"
"Dillingham Census Area, AK*",2011,"229,785.00"
"Fairbanks North Star Borough, AK",2011,"5,718,568.00"
"Haines Borough, AK",2011,"84,873.00"
"Hoonah-Angoon Census Area, AK*",2011,"71,576.00"
"Juneau City and Borough, AK",2011,"2,296,538.00"
"Kenai Peninsula Borough, AK",2011,"2,598,187.00"
"Ketchikan Gateway Borough, AK*",2011,"804,120.00"
"Kodiak Island Borough, AK",2011,"709,980.00"
"Kusilvak Census Area, AK*",2011,"136,373.00"
"Lake and Peninsula Borough, AK*",2011,"77,321.00"
"Matanuska-Susitna Borough, AK",2011,"2,073,029.00"
"Nome Census Area, AK*",2011,"417,034.00"
"North Slope Borough, AK",2011,"15,800,526.00"
"Northwest Arctic Borough, AK",2011,"707,076.00"
"Petersburg Borough, AK*",2011,"199,140.00"
"Prince of Wales-Hyder Census Area, AK*",2011,"229,182.00"
"Sitka City and Borough, AK",2011,"462,332.00"
"Skagway Municipality, AK*",2011,"86,426.00"
"Southeast Fairbanks Census Area, AK*",2011,"756,563.00"
"Valdez-Cordova Census Area, AK*",2011,"650,354.00"
"Wrangell City and Borough, AK*",2011,"79,476.00"
"Yakutat City and Borough, AK*",2011,"34,187.00"
"Yukon-Koyukuk Census Area, AK*",2011,"412,362.00"
"Apache, AZ",2011,"2,822,131.00"
"Cochise, AZ",2011,"4,590,615.00"
"Coconino, AZ",2011,"6,398,553.00"
"Gila, AZ",2011,"2,044,508.00"
"Graham, AZ",2011,"822,073.00"
"Greenlee, AZ",2011,"1,732,302.00"
"La Paz, AZ",2011,"613,128.00"
"Maricopa, AZ",2011,"175,818,974.00"
"Mohave, AZ",2011,"4,470,839.00"
"Navajo, AZ",2011,"3,344,235.00"
"Pima, AZ",2011,"35,486,928.00"
"Pinal, AZ",2011,"6,627,660.00"
"Santa Cruz, AZ",2011,"1,528,829.00"
"Yavapai, AZ",2011,"5,303,629.00"
"Yuma, AZ",2011,"6,343,409.00"
"Arkansas, AR",2011,"894,122.00"
"Ashley, AR",2011,"915,651.00"
"Baxter, AR",2011,"1,130,861.00"
"Benton, AR",2011,"9,268,724.00"
"Boone, AR",2011,"1,128,524.00"
"Bradley, AR",2011,"272,220.00"
"Calhoun, AR",2011,"321,505.00"
"Carroll, AR",2011,"652,016.00"
"Chicot, AR",2011,"316,273.00"
"Clark, AR",2011,"701,193.00"
"Clay, AR",2011,"366,869.00"
"Cleburne, AR",2011,"851,526.00"
"Cleveland, AR",2011,"89,821.00"
"Columbia, AR",2011,"844,141.00"
"Conway, AR",2011,"965,986.00"
"Craighead, AR",2011,"3,757,011.00"
"Crawford, AR",2011,"1,511,181.00"
"Crittenden, AR",2011,"1,466,687.00"
"Cross, AR",2011,"436,205.00"
"Dallas, AR",2011,"193,000.00"
"Desha, AR",2011,"555,599.00"
"Drew, AR",2011,"572,346.00"
"Faulkner, AR",2011,"3,592,964.00"
"Franklin, AR",2011,"413,858.00"
"Fulton, AR",2011,"179,607.00"
"Garland, AR",2011,"2,868,323.00"
"Grant, AR",2011,"322,746.00"
"Greene, AR",2011,"1,198,772.00"
"Hempstead, AR",2011,"684,175.00"
"Hot Spring, AR",2011,"740,492.00"
"Howard, AR",2011,"477,048.00"
"Independence, AR",2011,"1,743,953.00"
"Izard, AR",2011,"239,405.00"
"Jackson, AR",2011,"515,943.00"
"Jefferson, AR",2011,"3,303,143.00"
"Johnson, AR",2011,"627,027.00"
"Lafayette, AR",2011,"140,197.00"
"Lawrence, AR",2011,"345,730.00"
"Lee, AR",2011,"294,275.00"
"Lincoln, AR",2011,"231,516.00"
"Little River, AR",2011,"525,093.00"
"Logan, AR",2011,"475,937.00"
"Lonoke, AR",2011,"1,042,715.00"
"Madison, AR",2011,"256,087.00"
"Marion, AR",2011,"482,802.00"
"Miller, AR",2011,"1,254,557.00"
"Mississippi, AR",2011,"2,232,483.00"
"Monroe, AR",2011,"241,787.00"
"Montgomery, AR",2011,"139,250.00"
"Nevada, AR",2011,"197,997.00"
"Newton, AR",2011,"99,515.00"
"Ouachita, AR",2011,"621,343.00"
"Perry, AR",2011,"136,033.00"
"Phillips, AR",2011,"574,401.00"
"Pike, AR",2011,"217,278.00"
"Poinsett, AR",2011,"551,965.00"
"Polk, AR",2011,"427,128.00"
"Pope, AR",2011,"2,585,235.00"
"Prairie, AR",2011,"174,362.00"
"Pulaski, AR",2011,"24,525,443.00"
"Randolph, AR",2011,"355,598.00"
"St. Francis, AR",2011,"735,097.00"
"Saline, AR",2011,"1,818,228.00"
"Scott, AR",2011,"215,460.00"
"Searcy, AR",2011,"137,083.00"
"Sebastian, AR",2011,"6,162,056.00"
"Sevier, AR",2011,"352,200.00"
"Sharp, AR",2011,"285,535.00"
"Stone, AR",2011,"199,547.00"
"Union, AR",2011,"2,128,479.00"
"Van Buren, AR",2011,"856,247.00"
"Washington, AR",2011,"7,740,876.00"
"White, AR",2011,"2,546,905.00"
"Woodruff, AR",2011,"213,948.00"
"Yell, AR",2011,"446,043.00"
"Alameda, CA",2011,"92,778,241.00"
"Alpine, CA",2011,"162,546.00"
"Amador, CA",2011,"1,416,722.00"
"Butte, CA",2011,"7,762,340.00"
"Calaveras, CA",2011,"1,238,834.00"
"Colusa, CA",2011,"1,427,494.00"
"Contra Costa, CA",2011,"59,163,549.00"
"Del Norte, CA",2011,"832,247.00"
"El Dorado, CA",2011,"5,975,670.00"
"Fresno, CA",2011,"35,687,433.00"
"Glenn, CA",2011,"1,138,597.00"
"Humboldt, CA",2011,"5,126,996.00"
"Imperial, CA",2011,"7,154,758.00"
"Inyo, CA",2011,"1,083,756.00"
"Kern, CA",2011,"45,407,983.00"
"Kings, CA",2011,"5,718,842.00"
"Lake, CA",2011,"1,775,365.00"
"Lassen, CA",2011,"1,253,538.00"
"Los Angeles, CA",2011,"575,123,723.00"
"Madera, CA",2011,"4,917,850.00"
"Marin, CA",2011,"16,525,827.00"
"Mariposa, CA",2011,"689,847.00"
"Mendocino, CA",2011,"3,186,370.00"
"Merced, CA",2011,"7,749,018.00"
"Modoc, CA",2011,"422,943.00"
"Mono, CA",2011,"945,541.00"
"Monterey, CA",2011,"20,376,827.00"
"Napa, CA",2011,"7,517,304.00"
"Nevada, CA",2011,"3,757,259.00"
"Orange, CA",2011,"181,347,250.00"
"Placer, CA",2011,"14,830,179.00"
"Plumas, CA",2011,"1,049,529.00"
"Riverside, CA",2011,"61,383,306.00"
"Sacramento, CA",2011,"69,120,887.00"
"San Benito, CA",2011,"1,776,232.00"
"San Bernardino, CA",2011,"67,367,268.00"
"San Diego, CA",2011,"174,514,254.00"
"San Francisco, CA",2011,"100,328,973.00"
"San Joaquin, CA",2011,"22,586,352.00"
"San Luis Obispo, CA",2011,"13,179,244.00"
"San Mateo, CA",2011,"62,471,718.00"
"Santa Barbara, CA",2011,"22,386,952.00"
"Santa Clara, CA",2011,"183,880,863.00"
"Santa Cruz, CA",2011,"11,825,027.00"
"Shasta, CA",2011,"6,825,426.00"
"Sierra, CA",2011,"154,330.00"
"Siskiyou, CA",2011,"1,607,877.00"
"Solano, CA",2011,"17,175,282.00"
"Sonoma, CA",2011,"22,112,191.00"
"Stanislaus, CA",2011,"17,785,225.00"
"Sutter, CA",2011,"3,204,193.00"
"Tehama, CA",2011,"1,631,763.00"
"Trinity, CA",2011,"443,139.00"
"Tulare, CA",2011,"14,350,174.00"
"Tuolumne, CA",2011,"2,394,837.00"
"Ventura, CA",2011,"44,700,099.00"
"Yolo, CA",2011,"10,577,522.00"
"Yuba, CA",2011,"2,729,297.00"
"Adams, CO*",2011,"17,892,016.00"
"Alamosa, CO",2011,"623,388.00"
"Arapahoe, CO",2011,"32,707,480.00"
"Archuleta, CO",2011,"395,653.00"
"Baca, CO",2011,"208,213.00"
"Bent, CO",2011,"183,377.00"
"Boulder, CO*",2011,"20,018,064.00"
"Broomfield, CO*",2011,"6,384,373.00"
"Chaffee, CO",2011,"537,153.00"
"Cheyenne, CO",2011,"262,486.00"
"Clear Creek, CO",2011,"603,901.00"
"Conejos, CO",2011,"179,977.00"
"Costilla, CO",2011,"100,920.00"
"Crowley, CO",2011,"98,376.00"
"Custer, CO",2011,"117,142.00"
"Delta, CO",2011,"854,364.00"
"Denver, CO",2011,"51,986,737.00"
"Dolores, CO",2011,"168,163.00"
"Douglas, CO",2011,"11,157,920.00"
"Eagle, CO",2011,"2,582,886.00"
"Elbert, CO",2011,"355,116.00"
"El Paso, CO",2011,"28,222,837.00"
"Fremont, CO",2011,"1,225,410.00"
"Garfield, CO",2011,"4,178,420.00"
"Gilpin, CO",2011,"564,928.00"
"Grand, CO",2011,"606,075.00"
"Gunnison, CO",2011,"1,108,183.00"
"Hinsdale, CO",2011,"46,324.00"
"Huerfano, CO",2011,"229,641.00"
"Jackson, CO",2011,"82,900.00"
"Jefferson, CO*",2011,"23,521,083.00"
"Kiowa, CO",2011,"95,417.00"
"Kit Carson, CO",2011,"426,438.00"
"Lake, CO",2011,"203,271.00"
"La Plata, CO",2011,"3,362,595.00"
"Larimer, CO",2011,"12,552,282.00"
"Las Animas, CO",2011,"761,377.00"
"Lincoln, CO",2011,"247,212.00"
"Logan, CO",2011,"1,042,557.00"
"Mesa, CO",2011,"5,544,126.00"
"Mineral, CO",2011,"56,955.00"
"Moffat, CO",2011,"1,218,753.00"
"Montezuma, CO",2011,"1,844,473.00"
"Montrose, CO",2011,"1,258,968.00"
"Morgan, CO",2011,"1,304,486.00"
"Otero, CO",2011,"571,145.00"
"Ouray, CO",2011,"144,811.00"
"Park, CO",2011,"331,746.00"
"Phillips, CO",2011,"256,659.00"
"Pitkin, CO",2011,"1,512,433.00"
"Prowers, CO",2011,"524,578.00"
"Pueblo, CO",2011,"5,366,860.00"
"Rio Blanco, CO",2011,"922,953.00"
"Rio Grande, CO",2011,"404,631.00"
"Routt, CO",2011,"1,902,335.00"
"Saguache, CO",2011,"190,989.00"
"San Juan, CO",2011,"45,674.00"
"San Miguel, CO",2011,"467,502.00"
"Sedgwick, CO",2011,"143,675.00"
"Summit, CO",2011,"1,729,250.00"
"Teller, CO",2011,"764,251.00"
"Washington, CO",2011,"273,812.00"
"Weld, CO*",2011,"11,003,653.00"
"Yuma, CO",2011,"752,198.00"
"Fairfield, CT",2011,"76,133,477.00"
"Hartford, CT",2011,"72,226,117.00"
"Litchfield, CT",2011,"7,849,322.00"
"Middlesex, CT",2011,"8,272,244.00"
"New Haven, CT",2011,"45,660,186.00"
"New London, CT",2011,"16,953,156.00"
"Tolland, CT",2011,"4,881,132.00"
"Windham, CT",2011,"4,548,066.00"
"Kent, DE",2011,"6,628,542.00"
"New Castle, DE",2011,"45,445,318.00"
"Sussex, DE",2011,"8,283,499.00"
"District of Columbia, DC",2011,"110,076,194.00"
"Alachua, FL",2011,"10,700,548.00"
"Baker, FL",2011,"527,582.00"
"Bay, FL",2011,"6,912,168.00"
"Bradford, FL",2011,"596,153.00"
"Brevard, FL",2011,"19,477,834.00"
"Broward, FL",2011,"79,206,764.00"
"Calhoun, FL",2011,"257,320.00"
"Charlotte, FL",2011,"3,786,155.00"
"Citrus, FL",2011,"3,496,196.00"
"Clay, FL",2011,"3,497,712.00"
"Collier, FL",2011,"12,158,993.00"
"Columbia, FL",2011,"1,724,790.00"
"DeSoto, FL",2011,"841,831.00"
"Dixie, FL",2011,"230,517.00"
"Duval, FL",2011,"47,030,496.00"
"Escambia, FL",2011,"12,603,345.00"
"Flagler, FL",2011,"1,668,833.00"
"Franklin, FL",2011,"336,481.00"
"Gadsden, FL",2011,"1,262,290.00"
"Gilchrist, FL",2011,"286,597.00"
"Glades, FL",2011,"240,031.00"
"Gulf, FL",2011,"348,072.00"
"Hamilton, FL",2011,"361,236.00"
"Hardee, FL",2011,"1,060,323.00"
"Hendry, FL",2011,"1,195,268.00"
"Hernando, FL",2011,"3,061,680.00"
"Highlands, FL",2011,"2,295,686.00"
"Hillsborough, FL",2011,"64,813,355.00"
"Holmes, FL",2011,"322,139.00"
"Indian River, FL",2011,"4,328,691.00"
"Jackson, FL",2011,"1,200,197.00"
"Jefferson, FL",2011,"249,529.00"
"Lafayette, FL",2011,"170,917.00"
"Lake, FL",2011,"6,520,702.00"
"Lee, FL",2011,"20,919,064.00"
"Leon, FL",2011,"12,490,219.00"
"Levy, FL",2011,"676,633.00"
"Liberty, FL",2011,"189,626.00"
"Madison, FL",2011,"408,172.00"
"Manatee, FL",2011,"10,200,757.00"
"Marion, FL",2011,"7,693,554.00"
"Martin, FL",2011,"6,086,429.00"
"Miami-Dade, FL",2011,"116,955,755.00"
"Monroe, FL",2011,"3,720,949.00"
"Nassau, FL",2011,"1,835,882.00"
"Okaloosa, FL",2011,"8,820,463.00"
"Okeechobee, FL",2011,"882,802.00"
"Orange, FL",2011,"65,893,258.00"
"Osceola, FL",2011,"6,730,254.00"
"Palm Beach, FL",2011,"56,552,809.00"
"Pasco, FL",2011,"8,999,516.00"
"Pinellas, FL",2011,"39,237,004.00"
"Polk, FL",2011,"19,420,125.00"
"Putnam, FL",2011,"2,167,405.00"
"St. Johns, FL",2011,"5,201,895.00"
"St. Lucie, FL",2011,"6,952,602.00"
"Santa Rosa, FL",2011,"3,270,157.00"
"Sarasota, FL",2011,"13,349,523.00"
"Seminole, FL",2011,"14,821,416.00"
"Sumter, FL",2011,"1,842,465.00"
"Suwannee, FL",2011,"1,002,153.00"
"Taylor, FL",2011,"676,541.00"
"Union, FL",2011,"314,432.00"
"Volusia, FL",2011,"13,909,608.00"
"Wakulla, FL",2011,"592,348.00"
"Walton, FL",2011,"1,714,303.00"
"Washington, FL",2011,"488,910.00"
"Appling, GA",2011,"1,398,241.00"
"Atkinson, GA",2011,"169,805.00"
"Bacon, GA",2011,"298,875.00"
"Baker, GA",2011,"103,958.00"
"Baldwin, GA",2011,"1,248,269.00"
"Banks, GA",2011,"270,027.00"
"Barrow, GA",2011,"1,430,328.00"
"Bartow, GA",2011,"3,947,100.00"
"Ben Hill, GA",2011,"486,087.00"
"Berrien, GA",2011,"394,616.00"
"Bibb, GA",2011,"7,118,969.00"
"Bleckley, GA",2011,"261,149.00"
"Brantley, GA",2011,"191,268.00"
"Brooks, GA",2011,"304,679.00"
"Bryan, GA",2011,"574,684.00"
"Bulloch, GA",2011,"1,806,344.00"
"Burke, GA",2011,"1,802,061.00"
"Butts, GA",2011,"468,723.00"
"Calhoun, GA",2011,"155,775.00"
"Camden, GA",2011,"1,636,059.00"
"Candler, GA",2011,"233,300.00"
"Carroll, GA",2011,"3,455,606.00"
"Catoosa, GA",2011,"1,244,447.00"
"Charlton, GA",2011,"195,353.00"
"Chatham, GA",2011,"13,335,726.00"
"Chattahoochee, GA",2011,"1,957,429.00"
"Chattooga, GA",2011,"503,246.00"
"Cherokee, GA",2011,"4,445,631.00"
"Clarke, GA",2011,"5,974,882.00"
"Clay, GA",2011,"72,774.00"
"Clayton, GA",2011,"12,749,596.00"
"Clinch, GA",2011,"204,092.00"
"Cobb, GA",2011,"34,443,790.00"
"Coffee, GA",2011,"1,162,474.00"
"Colquitt, GA",2011,"1,146,816.00"
"Columbia, GA",2011,"2,629,371.00"
"Cook, GA",2011,"330,603.00"
"Coweta, GA",2011,"3,077,729.00"
"Crawford, GA",2011,"153,085.00"
"Crisp, GA",2011,"628,784.00"
"Dade, GA",2011,"300,708.00"
"Dawson, GA",2011,"571,293.00"
"Decatur, GA",2011,"790,303.00"
"DeKalb, GA",2011,"30,937,110.00"
"Dodge, GA",2011,"448,892.00"
"Dooly, GA",2011,"314,731.00"
"Dougherty, GA",2011,"4,111,605.00"
"Douglas, GA",2011,"2,953,106.00"
"Early, GA",2011,"494,888.00"
"Echols, GA",2011,"46,587.00"
"Effingham, GA",2011,"1,542,631.00"
"Elbert, GA",2011,"543,547.00"
"Emanuel, GA",2011,"564,267.00"
"Evans, GA",2011,"336,451.00"
"Fannin, GA",2011,"465,226.00"
"Fayette, GA",2011,"3,486,966.00"
"Floyd, GA",2011,"3,722,187.00"
"Forsyth, GA",2011,"6,541,355.00"
"Franklin, GA",2011,"580,390.00"
"Fulton, GA",2011,"115,787,837.00"
"Gilmer, GA",2011,"648,417.00"
"Glascock, GA",2011,"37,383.00"
"Glynn, GA",2011,"3,308,703.00"
"Gordon, GA",2011,"1,766,244.00"
"Grady, GA",2011,"579,835.00"
"Greene, GA",2011,"480,885.00"
"Gwinnett, GA",2011,"34,321,389.00"
"Habersham, GA",2011,"1,204,902.00"
"Hall, GA",2011,"6,953,301.00"
"Hancock, GA",2011,"145,224.00"
"Haralson, GA",2011,"662,013.00"
"Harris, GA",2011,"400,241.00"
"Hart, GA",2011,"612,309.00"
"Heard, GA",2011,"1,262,616.00"
"Henry, GA",2011,"4,199,233.00"
"Houston, GA",2011,"5,747,635.00"
"Irwin, GA",2011,"223,542.00"
"Jackson, GA",2011,"1,715,709.00"
"Jasper, GA",2011,"205,790.00"
"Jeff Davis, GA",2011,"349,366.00"
"Jefferson, GA",2011,"489,092.00"
"Jenkins, GA",2011,"141,579.00"
"Johnson, GA",2011,"140,072.00"
"Jones, GA",2011,"344,510.00"
"Lamar, GA",2011,"330,898.00"
"Lanier, GA",2011,"133,760.00"
"Laurens, GA",2011,"1,590,260.00"
"Lee, GA",2011,"519,420.00"
"Liberty, GA",2011,"3,674,111.00"
"Lincoln, GA",2011,"124,422.00"
"Long, GA",2011,"99,966.00"
"Lowndes, GA",2011,"4,085,032.00"
"Lumpkin, GA",2011,"577,055.00"
"McDuffie, GA",2011,"584,999.00"
"McIntosh, GA",2011,"180,904.00"
"Macon, GA",2011,"375,861.00"
"Madison, GA",2011,"339,512.00"
"Marion, GA",2011,"124,502.00"
"Meriwether, GA",2011,"458,220.00"
"Miller, GA",2011,"185,654.00"
"Mitchell, GA",2011,"736,229.00"
"Monroe, GA",2011,"1,967,505.00"
"Montgomery, GA",2011,"146,120.00"
"Morgan, GA",2011,"509,624.00"
"Murray, GA",2011,"1,091,131.00"
"Muscogee, GA",2011,"9,154,203.00"
"Newton, GA",2011,"1,957,716.00"
"Oconee, GA",2011,"789,796.00"
"Oglethorpe, GA",2011,"228,032.00"
"Paulding, GA",2011,"1,718,172.00"
"Peach, GA",2011,"721,831.00"
"Pickens, GA",2011,"672,765.00"
"Pierce, GA",2011,"322,284.00"
"Pike, GA",2011,"238,500.00"
"Polk, GA",2011,"985,004.00"
"Pulaski, GA",2011,"256,717.00"
"Putnam, GA",2011,"790,073.00"
"Quitman, GA",2011,"41,202.00"
"Rabun, GA",2011,"435,758.00"
"Randolph, GA",2011,"191,433.00"
"Richmond, GA",2011,"10,483,122.00"
"Rockdale, GA",2011,"2,955,800.00"
"Schley, GA",2011,"132,066.00"
"Screven, GA",2011,"334,362.00"
"Seminole, GA",2011,"292,038.00"
"Spalding, GA",2011,"1,849,473.00"
"Stephens, GA",2011,"763,341.00"
"Stewart, GA",2011,"102,702.00"
"Sumter, GA",2011,"980,864.00"
"Talbot, GA",2011,"112,892.00"
"Taliaferro, GA",2011,"28,094.00"
"Tattnall, GA",2011,"502,764.00"
"Taylor, GA",2011,"153,290.00"
"Telfair, GA",2011,"269,020.00"
"Terrell, GA",2011,"266,626.00"
"Thomas, GA",2011,"1,868,609.00"
"Tift, GA",2011,"1,484,710.00"
"Toombs, GA",2011,"879,406.00"
"Towns, GA",2011,"271,667.00"
"Treutlen, GA",2011,"110,905.00"
"Troup, GA",2011,"3,009,099.00"
"Turner, GA",2011,"206,929.00"
"Twiggs, GA",2011,"147,052.00"
"Union, GA",2011,"545,471.00"
"Upson, GA",2011,"615,764.00"
"Walker, GA",2011,"1,221,889.00"
"Walton, GA",2011,"1,767,129.00"
"Ware, GA",2011,"1,195,402.00"
"Warren, GA",2011,"124,199.00"
"Washington, GA",2011,"568,569.00"
"Wayne, GA",2011,"799,652.00"
"Webster, GA",2011,"62,340.00"
"Wheeler, GA",2011,"118,604.00"
"White, GA",2011,"541,922.00"
"Whitfield, GA",2011,"4,710,121.00"
"Wilcox, GA",2011,"167,887.00"
"Wilkes, GA",2011,"269,011.00"
"Wilkinson, GA",2011,"469,129.00"
"Worth, GA",2011,"361,631.00"
"Hawaii, HI",2011,"6,567,892.00"
"Honolulu, HI",2011,"53,296,208.00"
"Kauai, HI",2011,"2,956,112.00"
"Maui + Kalawao, HI*",2011,"7,662,367.00"
"Ada, ID",2011,"18,615,002.00"
"Adams, ID",2011,"94,473.00"
"Bannock, ID",2011,"2,480,484.00"
"Bear Lake, ID",2011,"143,424.00"
"Benewah, ID",2011,"347,402.00"
"Bingham, ID",2011,"1,324,960.00"
"Blaine, ID",2011,"1,059,752.00"
"Boise, ID",2011,"136,017.00"
"Bonner, ID",2011,"1,199,321.00"
"Bonneville, ID",2011,"3,613,490.00"
"Boundary, ID",2011,"301,753.00"
"Butte, ID",2011,"1,036,248.00"
"Camas, ID",2011,"54,260.00"
"Canyon, ID",2011,"4,088,174.00"
"Caribou, ID",2011,"603,540.00"
"Cassia, ID",2011,"1,119,850.00"
"Clark, ID",2011,"48,206.00"
"Clearwater, ID",2011,"366,405.00"
"Custer, ID",2011,"362,498.00"
"Elmore, ID",2011,"992,063.00"
"Franklin, ID",2011,"265,981.00"
"Fremont (includes Yellowstone Park), ID",2011,"319,262.00"
"Gem, ID",2011,"253,285.00"
"Gooding, ID",2011,"849,541.00"
"Idaho, ID",2011,"409,514.00"
"Jefferson, ID",2011,"544,858.00"
"Jerome, ID",2011,"892,281.00"
"Kootenai, ID",2011,"4,282,510.00"
"Latah, ID",2011,"1,102,501.00"
"Lemhi, ID",2011,"191,395.00"
"Lewis, ID",2011,"148,245.00"
"Lincoln, ID",2011,"209,747.00"
"Madison, ID",2011,"890,270.00"
"Minidoka, ID",2011,"707,815.00"
"Nez Perce, ID",2011,"1,673,894.00"
"Oneida, ID",2011,"111,457.00"
"Owyhee, ID",2011,"326,001.00"
"Payette, ID",2011,"598,450.00"
"Power, ID",2011,"396,291.00"
"Shoshone, ID",2011,"760,851.00"
"Teton, ID",2011,"219,429.00"
"Twin Falls, ID",2011,"2,579,412.00"
"Valley, ID",2011,"338,122.00"
"Washington, ID",2011,"429,663.00"
"Adams, IL",2011,"3,202,312.00"
"Alexander, IL",2011,"210,075.00"
"Bond, IL",2011,"510,880.00"
"Boone, IL",2011,"1,412,436.00"
"Brown, IL",2011,"343,095.00"
"Bureau, IL",2011,"1,291,084.00"
"Calhoun, IL",2011,"121,308.00"
"Carroll, IL",2011,"554,114.00"
"Cass, IL",2011,"563,431.00"
"Champaign, IL",2011,"9,618,756.00"
"Christian, IL",2011,"1,563,300.00"
"Clark, IL",2011,"548,767.00"
"Clay, IL",2011,"492,588.00"
"Clinton, IL",2011,"1,043,861.00"
"Coles, IL",2011,"2,168,407.00"
"Cook, IL",2011,"318,648,035.00"
"Crawford, IL",2011,"1,794,862.00"
"Cumberland, IL",2011,"299,867.00"
"DeKalb, IL",2011,"3,505,447.00"
"De Witt, IL",2011,"1,094,452.00"
"Douglas, IL",2011,"925,964.00"
"DuPage, IL",2011,"70,145,261.00"
"Edgar, IL",2011,"694,158.00"
"Edwards, IL",2011,"265,707.00"
"Effingham, IL",2011,"1,741,149.00"
"Fayette, IL",2011,"578,195.00"
"Ford, IL",2011,"645,220.00"
"Franklin, IL",2011,"996,286.00"
"Fulton, IL",2011,"961,598.00"
"Gallatin, IL",2011,"244,733.00"
"Greene, IL",2011,"395,056.00"
"Grundy, IL",2011,"3,447,670.00"
"Hamilton, IL",2011,"227,918.00"
"Hancock, IL",2011,"592,326.00"
"Hardin, IL",2011,"115,661.00"
"Henderson, IL",2011,"207,676.00"
"Henry, IL",2011,"1,471,297.00"
"Iroquois, IL",2011,"1,084,199.00"
"Jackson, IL",2011,"2,452,440.00"
"Jasper, IL",2011,"687,653.00"
"Jefferson, IL",2011,"1,839,122.00"
"Jersey, IL",2011,"502,750.00"
"Jo Daviess, IL",2011,"819,405.00"
"Johnson, IL",2011,"241,662.00"
"Kane, IL",2011,"19,984,063.00"
"Kankakee, IL",2011,"4,010,204.00"
"Kendall, IL",2011,"2,587,650.00"
"Knox, IL",2011,"1,933,827.00"
"Lake, IL",2011,"48,314,820.00"
"LaSalle, IL",2011,"5,341,825.00"
"Lawrence, IL",2011,"528,760.00"
"Lee, IL",2011,"1,327,308.00"
"Livingston, IL",2011,"1,714,325.00"
"Logan, IL",2011,"1,050,301.00"
"McDonough, IL",2011,"1,273,432.00"
"McHenry, IL",2011,"9,572,500.00"
"McLean, IL",2011,"10,432,180.00"
"Macon, IL",2011,"6,501,247.00"
"Macoupin, IL",2011,"1,203,819.00"
