County Name,Year,Populations
"Lake and Peninsula Borough, AK*",2011,"1,648"
"Matanuska-Susitna Borough, AK",2011,"91,716"
"Nome Census Area, AK*",2011,"9,775"
"North Slope Borough, AK",2011,"9,550"
"Northwest Arctic Borough, AK",2011,"7,705"
"Petersburg Borough, AK*",2011,"3,866"
"Prince of Wales-Hyder Census Area, AK*",2011,"5,761"
"Sitka City and Borough, AK",2011,"8,886"
"Skagway Municipality, AK*",2011,962
"Southeast Fairbanks Census Area, AK*",2011,"7,148"
"Valdez-Cordova Census Area, AK*",2011,"9,738"
"Wrangell City and Borough, AK*",2011,"2,395"
"Yakutat City and Borough, AK*",2011,656
"Yukon-Koyukuk Census Area, AK*",2011,"5,631"
"Apache, AZ",2011,"72,186"
"Cochise, AZ",2011,"133,111"
"Coconino, AZ",2011,"134,269"
"Gila, AZ",2011,"53,444"
"Graham, AZ",2011,"37,134"
"Greenlee, AZ",2011,"8,577"
"La Paz, AZ*",2011,"20,608"
"Maricopa, AZ",2011,"3,875,065"
"Mohave, AZ",2011,"202,801"
"Navajo, AZ",2011,"107,545"
"Pima, AZ",2011,"988,407"
"Pinal, AZ",2011,"378,760"
"Santa Cruz, AZ",2011,"47,684"
"Yavapai, AZ",2011,"211,023"
"Yuma, AZ*",2011,"202,883"
"Arkansas, AR",2011,"18,872"
"Ashley, AR",2011,"21,671"
"Baxter, AR",2011,"41,347"
"Benton, AR",2011,"229,154"
"Boone, AR",2011,"37,070"
"Bradley, AR",2011,"11,437"
"Calhoun, AR",2011,"5,243"
"Carroll, AR",2011,"27,462"
"Chicot, AR",2011,"11,704"
"Clark, AR",2011,"22,927"
"Clay, AR",2011,"15,874"
"Cleburne, AR",2011,"25,890"
"Cleveland, AR",2011,"8,673"
"Columbia, AR",2011,"24,703"
"Conway, AR",2011,"21,127"
"Craighead, AR",2011,"98,392"
"Crawford, AR",2011,"61,807"
"Crittenden, AR",2011,"50,511"
"Cross, AR",2011,"17,808"
"Dallas, AR",2011,"8,053"
"Desha, AR",2011,"12,729"
"Drew, AR",2011,"18,732"
"Faulkner, AR",2011,"116,270"
"Franklin, AR",2011,"18,001"
"Fulton, AR",2011,"12,239"
"Garland, AR",2011,"96,852"
"Grant, AR",2011,"17,945"
"Greene, AR",2011,"42,757"
"Hempstead, AR",2011,"22,486"
"Hot Spring, AR",2011,"33,136"
"Howard, AR",2011,"13,820"
"Independence, AR",2011,"36,881"
"Izard, AR",2011,"13,569"
"Jackson, AR",2011,"17,887"
"Jefferson, AR",2011,"76,032"
"Johnson, AR",2011,"25,668"
"Lafayette, AR",2011,"7,535"
"Lawrence, AR",2011,"17,280"
"Lee, AR",2011,"10,293"
"Lincoln, AR",2011,"14,339"
"Little River, AR",2011,"12,943"
"Logan, AR",2011,"22,240"
"Lonoke, AR",2011,"69,497"
"Madison, AR",2011,"15,660"
"Marion, AR",2011,"16,672"
"Miller, AR",2011,"43,757"
"Mississippi, AR",2011,"46,024"
"Monroe, AR",2011,"8,098"
"Montgomery, AR",2011,"9,397"
"Nevada, AR",2011,"9,008"
"Newton, AR",2011,"8,262"
"Ouachita, AR",2011,"25,737"
"Perry, AR",2011,"10,377"
"Phillips, AR",2011,"21,407"
"Pike, AR",2011,"11,239"
"Poinsett, AR",2011,"24,445"
"Polk, AR",2011,"20,558"
"Pope, AR",2011,"62,676"
"Prairie, AR",2011,"8,597"
"Pulaski, AR",2011,"386,982"
"Randolph, AR",2011,"17,971"
"St. Francis, AR",2011,"27,989"
"Saline, AR",2011,"109,541"
"Scott, AR",2011,"11,238"
"Searcy, AR",2011,"8,071"
"Sebastian, AR",2011,"127,027"
"Sevier, AR",2011,"17,217"
"Sharp, AR",2011,"17,271"
"Stone, AR",2011,"12,499"
"Union, AR",2011,"41,398"
"Van Buren, AR",2011,"17,189"
"Washington, AR",2011,"208,038"
"White, AR",2011,"78,065"
"Woodruff, AR",2011,"7,176"
"Yell, AR",2011,"21,965"
"Alameda, CA",2011,"1,530,998"
"Alpine, CA",2011,"1,093"
"Amador, CA",2011,"37,538"
"Butte, CA",2011,"219,952"
"Calaveras, CA",2011,"45,160"
"Colusa, CA",2011,"21,327"
"Contra Costa, CA",2011,"1,065,452"
"Del Norte, CA",2011,"28,442"
"El Dorado, CA",2011,"180,918"
"Fresno, CA",2011,"939,479"
"Glenn, CA",2011,"28,144"
"Humboldt, CA",2011,"135,215"
"Imperial, CA",2011,"175,813"
"Inyo, CA",2011,"18,393"
"Kern, CA",2011,"848,140"
"Kings, CA",2011,"151,886"
"Lake, CA",2011,"64,247"
"Lassen, CA",2011,"34,238"
"Los Angeles, CA",2011,"9,876,727"
"Madera, CA",2011,"151,702"
"Marin, CA",2011,"255,363"
"Mariposa, CA",2011,"18,168"
"Mendocino, CA",2011,"87,334"
"Merced, CA",2011,"259,333"
"Modoc, CA",2011,"9,512"
"Mono, CA",2011,"14,423"
"Monterey, CA",2011,"420,542"
"Napa, CA",2011,"137,750"
"Nevada, CA",2011,"98,697"
"Orange, CA",2011,"3,050,867"
"Placer, CA",2011,"356,312"
"Plumas, CA",2011,"19,715"
"Riverside, CA",2011,"2,234,301"
"Sacramento, CA",2011,"1,433,739"
"San Benito, CA",2011,"55,982"
"San Bernardino, CA",2011,"2,061,040"
"San Diego, CA",2011,"3,137,372"
"San Francisco, CA",2011,"815,677"
"San Joaquin, CA",2011,"694,388"
"San Luis Obispo, CA",2011,"271,050"
"San Mateo, CA",2011,"728,404"
"Santa Barbara, CA",2011,"425,481"
"Santa Clara, CA",2011,"1,812,166"
"Santa Cruz, CA",2011,"264,882"
"Shasta, CA",2011,"177,572"
"Sierra, CA",2011,"3,099"
"Siskiyou, CA",2011,"44,610"
"Solano, CA",2011,"416,305"
"Sonoma, CA",2011,"487,423"
"Stanislaus, CA",2011,"517,614"
"Sutter, CA",2011,"94,485"
"Tehama, CA",2011,"63,336"
"Trinity, CA",2011,"13,681"
"Tulare, CA",2011,"446,864"
"Tuolumne, CA",2011,"54,825"
"Ventura, CA",2011,"830,196"
"Yolo, CA",2011,"201,959"
"Yuba, CA",2011,"72,492"
"Adams, CO*",2011,"452,203"
"Alamosa, CO",2011,"16,122"
"Arapahoe, CO",2011,"585,844"
"Archuleta, CO",2011,"12,022"
"Baca, CO",2011,"3,777"
"Bent, CO",2011,"6,339"
"Boulder, CO*",2011,"300,897"
"Broomfield, CO*",2011,"57,482"
"Chaffee, CO",2011,"18,030"
"Cheyenne, CO",2011,"1,862"
"Clear Creek, CO",2011,"9,001"
"Conejos, CO",2011,"8,289"
"Costilla, CO",2011,"3,642"
"Crowley, CO",2011,"5,882"
"Custer, CO",2011,"4,228"
"Delta, CO",2011,"30,390"
"Denver, CO",2011,"620,513"
"Dolores, CO",2011,"2,044"
"Douglas, CO",2011,"292,513"
"Eagle, CO",2011,"52,072"
"Elbert, CO",2011,"23,176"
"El Paso, CO",2011,"637,120"
"Fremont, CO",2011,"47,379"
"Garfield, CO",2011,"56,065"
"Gilpin, CO",2011,"5,431"
"Grand, CO",2011,"14,562"
"Gunnison, CO",2011,"15,322"
"Hinsdale, CO",2011,825
"Huerfano, CO",2011,"6,527"
"Jackson, CO",2011,"1,357"
"Jefferson, CO*",2011,"540,755"
"Kiowa, CO",2011,"1,431"
"Kit Carson, CO",2011,"8,170"
"Lake, CO",2011,"7,342"
"La Plata, CO",2011,"51,794"
"Larimer, CO",2011,"305,237"
"Las Animas, CO",2011,"15,041"
"Lincoln, CO",2011,"5,418"
"Logan, CO",2011,"21,869"
"Mesa, CO",2011,"147,285"
"Mineral, CO",2011,711
"Moffat, CO",2011,"13,421"
"Montezuma, CO",2011,"25,474"
"Montrose, CO",2011,"40,972"
"Morgan, CO",2011,"28,453"
"Otero, CO",2011,"18,867"
"Ouray, CO",2011,"4,423"
"Park, CO",2011,"16,055"
"Phillips, CO",2011,"4,400"
"Pitkin, CO",2011,"17,175"
"Prowers, CO",2011,"12,529"
"Pueblo, CO",2011,"160,248"
"Rio Blanco, CO",2011,"6,782"
"Rio Grande, CO",2011,"11,914"
"Routt, CO",2011,"23,264"
"Saguache, CO",2011,"6,187"
"San Juan, CO",2011,690
"San Miguel, CO",2011,"7,486"
"Sedgwick, CO",2011,"2,371"
"Summit, CO",2011,"28,046"
"Teller, CO",2011,"23,366"
"Washington, CO",2011,"4,762"
"Weld, CO*",2011,"258,783"
"Yuma, CO",2011,"10,134"
"Fairfield, CT",2011,"927,897"
"Hartford, CT",2011,"896,776"
"Litchfield, CT",2011,"189,002"
"Middlesex, CT",2011,"166,176"
"New Haven, CT",2011,"863,827"
"New London, CT",2011,"273,013"
"Tolland, CT",2011,"153,027"
"Windham, CT",2011,"118,305"
"Kent, DE",2011,"165,097"
"New Castle, DE",2011,"541,866"
"Sussex, DE",2011,"200,353"
"District of Columbia, DC",2011,"619,602"
"Alachua, FL",2011,"249,806"
"Baker, FL",2011,"27,043"
"Bay, FL",2011,"169,541"
"Bradford, FL",2011,"28,432"
"Brevard, FL",2011,"544,319"
"Broward, FL",2011,"1,786,955"
"Calhoun, FL",2011,"14,715"
"Charlotte, FL",2011,"159,851"
"Citrus, FL",2011,"139,756"
"Clay, FL",2011,"192,278"
"Collier, FL",2011,"327,632"
"Columbia, FL",2011,"67,309"
"DeSoto, FL",2011,"34,841"
"Dixie, FL",2011,"16,405"
"Duval, FL",2011,"872,297"
"Escambia, FL",2011,"299,357"
"Flagler, FL",2011,"97,465"
"Franklin, FL",2011,"11,469"
"Gadsden, FL",2011,"47,366"
"Gilchrist, FL",2011,"16,990"
"Glades, FL",2011,"12,836"
"Gulf, FL",2011,"15,758"
"Hamilton, FL",2011,"14,592"
"Hardee, FL",2011,"27,682"
"Hendry, FL",2011,"38,977"
"Hernando, FL",2011,"172,830"
"Highlands, FL",2011,"98,477"
"Hillsborough, FL",2011,"1,271,110"
"Holmes, FL",2011,"19,838"
"Indian River, FL",2011,"139,100"
"Jackson, FL",2011,"49,188"
"Jefferson, FL",2011,"14,526"
"Lafayette, FL",2011,"8,801"
"Lake, FL",2011,"300,488"
"Lee, FL",2011,"631,031"
"Leon, FL",2011,"278,334"
"Levy, FL",2011,"40,151"
"Liberty, FL",2011,"8,261"
"Madison, FL",2011,"19,131"
"Manatee, FL",2011,"327,549"
"Marion, FL",2011,"332,275"
"Martin, FL",2011,"147,865"
"Miami-Dade, FL",2011,"2,569,856"
"Monroe, FL",2011,"73,963"
"Nassau, FL",2011,"74,139"
"Okaloosa, FL",2011,"183,088"
"Okeechobee, FL",2011,"39,871"
"Orange, FL",2011,"1,170,526"
"Osceola, FL",2011,"278,637"
"Palm Beach, FL",2011,"1,336,720"
"Pasco, FL",2011,"466,428"
"Pinellas, FL",2011,"918,380"
"Polk, FL",2011,"609,943"
"Putnam, FL",2011,"73,639"
"St. Johns, FL",2011,"196,088"
"St. Lucie, FL",2011,"280,420"
"Santa Rosa, FL",2011,"155,722"
"Sarasota, FL",2011,"382,223"
"Seminole, FL",2011,"426,307"
"Sumter, FL",2011,"97,972"
"Suwannee, FL",2011,"43,360"
"Taylor, FL",2011,"22,656"
"Union, FL",2011,"15,299"
"Volusia, FL",2011,"494,421"
"Wakulla, FL",2011,"30,970"
"Walton, FL",2011,"55,590"
"Washington, FL",2011,"24,507"
"Appling, GA",2011,"18,458"
"Atkinson, GA",2011,"8,360"
"Bacon, GA",2011,"11,139"
"Baker, GA",2011,"3,315"
"Baldwin, GA",2011,"45,173"
"Banks, GA",2011,"18,244"
"Barrow, GA",2011,"69,835"
"Bartow, GA",2011,"100,150"
"Ben Hill, GA",2011,"17,566"
"Berrien, GA",2011,"19,377"
"Bibb, GA",2011,"156,160"
"Bleckley, GA",2011,"13,078"
"Brantley, GA",2011,"18,545"
"Brooks, GA",2011,"15,982"
"Bryan, GA",2011,"31,267"
"Bulloch, GA",2011,"72,637"
"Burke, GA",2011,"23,489"
"Butts, GA",2011,"23,580"
"Calhoun, GA",2011,"6,624"
"Camden, GA",2011,"50,297"
"Candler, GA",2011,"11,202"
"Carroll, GA",2011,"110,727"
"Catoosa, GA",2011,"64,756"
"Charlton, GA",2011,"13,454"
"Chatham, GA",2011,"271,590"
"Chattahoochee, GA",2011,"11,261"
"Chattooga, GA",2011,"25,675"
"Cherokee, GA",2011,"217,711"
"Clarke, GA",2011,"118,227"
"Clay, GA",2011,"3,161"
"Clayton, GA",2011,"261,981"
"Clinch, GA",2011,"6,723"
"Cobb, GA",2011,"696,501"
"Coffee, GA",2011,"43,004"
"Colquitt, GA",2011,"45,782"
"Columbia, GA",2011,"128,812"
"Cook, GA",2011,"17,031"
"Coweta, GA",2011,"129,345"
"Crawford, GA",2011,"12,614"
"Crisp, GA",2011,"23,750"
"Dade, GA",2011,"16,591"
"Dawson, GA",2011,"22,290"
"Decatur, GA",2011,"27,649"
"DeKalb, GA",2011,"698,304"
"Dodge, GA",2011,"21,610"
"Dooly, GA",2011,"14,607"
"Dougherty, GA",2011,"95,046"
"Douglas, GA",2011,"133,121"
"Early, GA",2011,"10,788"
"Echols, GA",2011,"4,067"
"Effingham, GA",2011,"52,690"
"Elbert, GA",2011,"19,822"
"Emanuel, GA",2011,"22,492"
"Evans, GA",2011,"10,978"
"Fannin, GA",2011,"23,635"
"Fayette, GA",2011,"107,151"
"Floyd, GA",2011,"96,153"
"Forsyth, GA",2011,"181,812"
"Franklin, GA",2011,"21,967"
"Fulton, GA",2011,"947,410"
"Gilmer, GA",2011,"28,302"
"Glascock, GA",2011,"3,099"
"Glynn, GA",2011,"80,097"
"Gordon, GA",2011,"55,478"
"Grady, GA",2011,"25,091"
"Greene, GA",2011,"16,051"
"Gwinnett, GA",2011,"822,442"
"Habersham, GA",2011,"43,045"
"Hall, GA",2011,"182,271"
"Hancock, GA",2011,"9,394"
"Haralson, GA",2011,"28,467"
"Harris, GA",2011,"32,309"
"Hart, GA",2011,"25,419"
"Heard, GA",2011,"11,725"
"Henry, GA",2011,"206,950"
"Houston, GA",2011,"143,864"
"Irwin, GA",2011,"9,694"
"Jackson, GA",2011,"60,966"
"Jasper, GA",2011,"13,835"
"Jeff Davis, GA",2011,"15,164"
"Jefferson, GA",2011,"16,779"
"Jenkins, GA",2011,"8,127"
"Johnson, GA",2011,"9,998"
"Jones, GA",2011,"28,733"
"Lamar, GA",2011,"18,158"
"Lanier, GA",2011,"10,474"
"Laurens, GA",2011,"47,907"
"Lee, GA",2011,"28,578"
"Liberty, GA",2011,"65,170"
"Lincoln, GA",2011,"7,871"
"Long, GA",2011,"15,073"
"Lowndes, GA",2011,"111,468"
"Lumpkin, GA",2011,"30,486"
"McDuffie, GA",2011,"21,612"
"McIntosh, GA",2011,"14,223"
"Macon, GA",2011,"14,455"
"Madison, GA",2011,"28,162"
"Marion, GA",2011,"8,701"
"Meriwether, GA",2011,"21,600"
"Miller, GA",2011,"6,071"
"Mitchell, GA",2011,"23,394"
"Monroe, GA",2011,"26,353"
"Montgomery, GA",2011,"9,030"
"Morgan, GA",2011,"17,898"
"Murray, GA",2011,"39,365"
"Muscogee, GA",2011,"195,244"
"Newton, GA",2011,"100,453"
"Oconee, GA",2011,"33,259"
"Oglethorpe, GA",2011,"14,701"
"Paulding, GA",2011,"143,574"
"Peach, GA",2011,"27,659"
"Pickens, GA",2011,"29,416"
"Pierce, GA",2011,"18,773"
"Pike, GA",2011,"17,783"
"Polk, GA",2011,"41,262"
"Pulaski, GA",2011,"11,842"
"Putnam, GA",2011,"21,241"
"Quitman, GA",2011,"2,455"
"Rabun, GA",2011,"16,261"
"Randolph, GA",2011,"7,564"
"Richmond, GA",2011,"200,348"
"Rockdale, GA",2011,"85,413"
"Schley, GA",2011,"5,042"
"Screven, GA",2011,"14,404"
"Seminole, GA",2011,"8,765"
"Spalding, GA",2011,"64,032"
"Stephens, GA",2011,"25,764"
"Stewart, GA",2011,"6,063"
"Sumter, GA",2011,"32,067"
"Talbot, GA",2011,"6,834"
"Taliaferro, GA",2011,"1,706"
"Tattnall, GA",2011,"25,441"
"Taylor, GA",2011,"8,439"
"Telfair, GA",2011,"16,239"
"Terrell, GA",2011,"9,392"
"Thomas, GA",2011,"44,590"
"Tift, GA",2011,"41,152"
"Toombs, GA",2011,"27,205"
"Towns, GA",2011,"10,579"
"Treutlen, GA",2011,"6,821"
"Troup, GA",2011,"67,619"
"Turner, GA",2011,"8,938"
"Twiggs, GA",2011,"8,822"
"Union, GA",2011,"21,247"
"Upson, GA",2011,"26,922"
"Walker, GA",2011,"68,808"
"Walton, GA",2011,"84,588"
"Ware, GA",2011,"36,279"
"Warren, GA",2011,"5,677"
"Washington, GA",2011,"20,969"
"Wayne, GA",2011,"30,294"
"Webster, GA",2011,"2,764"
"Wheeler, GA",2011,"8,068"
"White, GA",2011,"27,398"
"Whitfield, GA",2011,"102,915"
"Wilcox, GA",2011,"9,210"
"Wilkes, GA",2011,"10,227"
"Wilkinson, GA",2011,"9,413"
"Worth, GA",2011,"21,522"
"Hawaii, HI",2011,"187,066"
"Honolulu, HI",2011,"967,287"
"Kauai, HI",2011,"67,898"
"Maui + Kalawao, HI*",2011,"157,001"
"Ada, ID",2011,"401,235"
"Adams, ID",2011,"3,980"
"Bannock, ID",2011,"83,628"
"Bear Lake, ID",2011,"5,955"
"Benewah, ID",2011,"9,172"
"Bingham, ID",2011,"45,894"
"Blaine, ID",2011,"21,084"
"Boise, ID",2011,"6,986"
"Bonner, ID",2011,"40,781"
"Bonneville, ID",2011,"105,806"
"Boundary, ID",2011,"10,821"
"Butte, ID",2011,"2,833"
"Camas, ID",2011,"1,115"
"Canyon, ID",2011,"191,354"
"Caribou, ID",2011,"6,843"
"Cassia, ID",2011,"23,108"
"Clark, ID",2011,954
"Clearwater, ID",2011,"8,608"
"Custer, ID",2011,"4,325"
"Elmore, ID",2011,"26,217"
"Franklin, ID",2011,"12,809"
"Fremont (includes Yellowstone Park), ID",2011,"13,105"
"Gem, ID",2011,"16,689"
"Gooding, ID",2011,"15,354"
"Idaho, ID",2011,"16,458"
"Jefferson, ID",2011,"26,311"
"Jerome, ID",2011,"22,533"
"Kootenai, ID",2011,"140,919"
"Latah, ID",2011,"37,848"
"Lemhi, ID",2011,"7,985"
"Lewis, ID",2011,"3,805"
"Lincoln, ID",2011,"5,131"
"Madison, ID",2011,"37,907"
"Minidoka, ID",2011,"20,208"
"Nez Perce, ID",2011,"39,431"
"Oneida, ID",2011,"4,231"
"Owyhee, ID",2011,"11,376"
"Payette, ID",2011,"22,546"
"Power, ID",2011,"7,780"
"Shoshone, ID",2011,"12,681"
"Teton, ID",2011,"10,162"
"Twin Falls, ID",2011,"78,089"
"Valley, ID",2011,"9,636"
"Washington, ID",2011,"10,135"
"Adams, IL",2011,"67,201"
"Alexander, IL",2011,"7,992"
"Bond, IL",2011,"17,724"
"Boone, IL",2011,"54,132"
"Brown, IL",2011,"6,879"
"Bureau, IL",2011,"34,623"
"Calhoun, IL",2011,"5,048"
"Carroll, IL",2011,"15,226"
"Cass, IL",2011,"13,632"
"Champaign, IL",2011,"203,174"
"Christian, IL",2011,"34,699"
"Clark, IL",2011,"16,200"
"Clay, IL",2011,"13,725"
"Clinton, IL",2011,"38,023"
"Coles, IL",2011,"53,620"
"Cook, IL",2011,"5,219,977"
"Crawford, IL",2011,"19,773"
"Cumberland, IL",2011,"11,079"
"DeKalb, IL",2011,"104,438"
"De Witt, IL",2011,"16,546"
"Douglas, IL",2011,"19,867"
"DuPage, IL",2011,"924,852"
"Edgar, IL",2011,"18,387"
"Edwards, IL",2011,"6,668"
"Effingham, IL",2011,"34,265"
"Fayette, IL",2011,"22,374"
"Ford, IL",2011,"13,878"
"Franklin, IL",2011,"40,027"
"Fulton, IL",2011,"36,907"
"Gallatin, IL",2011,"5,490"
"Greene, IL",2011,"13,856"
"Grundy, IL",2011,"50,095"
"Hamilton, IL",2011,"8,423"
"Hancock, IL",2011,"18,997"
"Hardin, IL",2011,"4,293"
"Henderson, IL",2011,"7,215"
"Henry, IL",2011,"50,283"
"Iroquois, IL",2011,"29,497"
"Jackson, IL",2011,"60,365"
"Jasper, IL",2011,"9,753"
"Jefferson, IL",2011,"38,749"
"Jersey, IL",2011,"22,852"
"Jo Daviess, IL",2011,"22,635"
"Johnson, IL",2011,"12,854"
"Kane, IL",2011,"519,211"
"Kankakee, IL",2011,"113,513"
"Kendall, IL",2011,"116,813"
"Knox, IL",2011,"52,699"
"Lake, IL",2011,"701,647"
"LaSalle, IL",2011,"113,521"
"Lawrence, IL",2011,"16,899"
"Lee, IL",2011,"35,597"
"Livingston, IL",2011,"38,803"
"Logan, IL",2011,"30,269"
"McDonough, IL",2011,"32,511"
"McHenry, IL",2011,"308,433"
"McLean, IL",2011,"170,893"
"Macon, IL",2011,"110,671"
"Macoupin, IL",2011,"47,734"
"Madison, IL",2011,"268,650"
"Marion, IL",2011,"39,140"
"Marshall, IL",2011,"12,477"
"Mason, IL",2011,"14,469"
"Massac, IL",2011,"15,279"
"Menard, IL",2011,"12,697"
"Mercer, IL",2011,"16,316"
"Monroe, IL",2011,"33,214"
"Montgomery, IL",2011,"29,860"
"Morgan, IL",2011,"35,479"
"Moultrie, IL",2011,"14,855"
"Ogle, IL",2011,"53,070"
"Peoria, IL",2011,"186,741"
"Perry, IL",2011,"22,262"
"Piatt, IL",2011,"16,677"
"Pike, IL",2011,"16,346"
"Pope, IL",2011,"4,494"
"Pulaski, IL",2011,"5,981"
"Putnam, IL",2011,"5,975"
"Randolph, IL",2011,"33,419"
"Richland, IL",2011,"16,189"
"Rock Island, IL",2011,"147,462"
"St. Clair, IL",2011,"270,006"
"Saline, IL",2011,"24,903"
"Sangamon, IL",2011,"199,016"
"Schuyler, IL",2011,"7,462"
"Scott, IL",2011,"5,228"
"Shelby, IL",2011,"22,281"
"Stark, IL",2011,"5,842"
"Stephenson, IL",2011,"47,319"
"Tazewell, IL",2011,"135,839"
"Union, IL",2011,"17,695"
"Vermilion, IL",2011,"81,407"
"Wabash, IL",2011,"11,793"
"Warren, IL",2011,"17,839"
"Washington, IL",2011,"14,574"
"Wayne, IL",2011,"16,658"
"White, IL",2011,"14,590"
"Whiteside, IL",2011,"58,272"
"Will, IL",2011,"680,799"
"Williamson, IL",2011,"66,726"
"Winnebago, IL",2011,"293,634"
"Woodford, IL",2011,"38,849"
"Adams, IN",2011,"34,374"
"Allen, IN",2011,"358,919"
"Bartholomew, IN",2011,"77,614"
"Benton, IN",2011,"8,855"
"Blackford, IN",2011,"12,654"
"Boone, IN",2011,"57,905"
"Brown, IN",2011,"15,075"
"Carroll, IN",2011,"20,036"
"Cass, IN",2011,"38,909"
"Clark, IN",2011,"111,487"
"Clay, IN",2011,"26,831"
"Clinton, IN",2011,"33,032"
"Crawford, IN",2011,"10,622"
"Daviess, IN",2011,"31,948"
"Dearborn, IN",2011,"49,985"
"Decatur, IN",2011,"25,898"
"DeKalb, IN",2011,"42,462"
"Delaware, IN",2011,"117,878"
"Dubois, IN",2011,"42,156"
"Elkhart, IN",2011,"198,267"
"Fayette, IN",2011,"24,150"
"Floyd, IN",2011,"74,969"
"Fountain, IN",2011,"17,153"
"Franklin, IN",2011,"23,037"
"Fulton, IN",2011,"20,730"
"Gibson, IN",2011,"33,521"
"Grant, IN",2011,"69,614"
"Greene, IN",2011,"33,027"
"Hamilton, IN",2011,"283,366"
"Hancock, IN",2011,"70,340"
"Harrison, IN",2011,"39,180"
"Hendricks, IN",2011,"148,610"
"Henry, IN",2011,"49,212"
"Howard, IN",2011,"82,791"
"Huntington, IN",2011,"37,164"
"Jackson, IN",2011,"42,912"
"Jasper, IN",2011,"33,423"
"Jay, IN",2011,"21,330"
"Jefferson, IN",2011,"32,275"
"Jennings, IN",2011,"28,152"
"Johnson, IN",2011,"141,726"
"Knox, IN",2011,"38,470"
"Kosciusko, IN",2011,"77,347"
"Lagrange, IN",2011,"37,463"
"Lake, IN",2011,"494,888"
"LaPorte, IN",2011,"111,299"
"Lawrence, IN",2011,"46,135"
"Madison, IN",2011,"130,994"
"Marion, IN",2011,"911,188"
"Marshall, IN",2011,"46,935"
"Martin, IN",2011,"10,335"
"Miami, IN",2011,"36,645"
"Monroe, IN",2011,"140,209"
"Montgomery, IN",2011,"38,332"
"Morgan, IN",2011,"69,244"
"Newton, IN",2011,"14,084"
"Noble, IN",2011,"47,298"
"Ohio, IN",2011,"6,061"
"Orange, IN",2011,"19,933"
"Owen, IN",2011,"21,490"
"Parke, IN",2011,"17,087"
"Perry, IN",2011,"19,421"
"Pike, IN",2011,"12,604"
"Porter, IN",2011,"165,507"
"Posey, IN",2011,"25,690"
