States,Year,Total Employments
Nevada,2014,"1,608,494"
New Hampshire,2014,"844,499"
New Jersey,2014,"5,206,784"
New Mexico,2014,"1,083,772"
New York,2014,"11,865,518"
North Carolina,2014,"5,568,662"
North Dakota,2014,"606,989"
Ohio,2014,"6,771,468"
Oklahoma,2014,"2,272,885"
Oregon,2014,"2,323,122"
Pennsylvania,2014,"7,434,313"
Rhode Island,2014,"613,133"
South Carolina,2014,"2,564,448"
South Dakota,2014,"589,296"
Tennessee,2014,"3,772,332"
Texas,2014,"16,000,512"
Utah,2014,"1,803,953"
Vermont,2014,"428,938"
Virginia,2014,"4,953,354"
Washington,2014,"4,094,309"
West Virginia,2014,"911,516"
Wisconsin,2014,"3,585,838"
Wyoming,2014,"406,343"
Alabama,2015,"2,586,885"
Alaska,2015,"461,767"
Arizona,2015,"3,548,174"
Arkansas,2015,"1,610,779"
California,2015,"22,686,455"
Colorado,2015,"3,574,369"
Connecticut,2015,"2,288,017"
Delaware,2015,"568,879"
District of Columbia,2015,"873,193"
Florida,2015,"11,366,665"
Georgia,2015,"5,832,372"
Hawaii,2015,"901,206"
Idaho,2015,"949,276"
Illinois,2015,"7,748,883"
Indiana,2015,"3,796,375"
Iowa,2015,"2,059,398"
Kansas,2015,"1,910,809"
Kentucky,2015,"2,473,302"
Louisiana,2015,"2,695,547"
Maine,2015,"816,598"
Maryland,2015,"3,602,938"
Massachusetts,2015,"4,631,324"
Michigan,2015,"5,501,054"
Minnesota,2015,"3,662,971"
Mississippi,2015,"1,568,187"
Missouri,2015,"3,654,912"
Montana,2015,"660,326"
Nebraska,2015,"1,302,888"
Nevada,2015,"1,664,121"
New Hampshire,2015,"860,597"
New Jersey,2015,"5,302,982"
New Mexico,2015,"1,091,984"
New York,2015,"12,099,078"
North Carolina,2015,"5,695,077"
North Dakota,2015,"597,475"
Ohio,2015,"6,862,067"
Oklahoma,2015,"2,286,956"
Oregon,2015,"2,390,658"
Pennsylvania,2015,"7,510,216"
Rhode Island,2015,"627,000"
South Carolina,2015,"2,636,675"
South Dakota,2015,"592,665"
Tennessee,2015,"3,858,802"
Texas,2015,"16,413,328"
Utah,2015,"1,866,146"
Vermont,2015,"432,641"
Virginia,2015,"5,060,545"
Washington,2015,"4,198,931"
West Virginia,2015,"903,866"
Wisconsin,2015,"3,624,387"
Wyoming,2015,"406,054"
Alabama,2016,"2,619,154"
Alaska,2016,"457,371"
Arizona,2016,"3,646,604"
Arkansas,2016,"1,629,237"
California,2016,"23,165,468"
Colorado,2016,"3,668,134"
Connecticut,2016,"2,300,054"
Delaware,2016,"578,596"
District of Columbia,2016,"891,451"
Florida,2016,"11,673,201"
Georgia,2016,"5,971,729"
Hawaii,2016,"913,190"
Idaho,2016,"976,418"
Illinois,2016,"7,799,593"
Indiana,2016,"3,847,261"
Iowa,2016,"2,066,052"
Kansas,2016,"1,916,297"
Kentucky,2016,"2,498,410"
Louisiana,2016,"2,690,552"
Maine,2016,"826,651"
Maryland,2016,"3,656,163"
Massachusetts,2016,"4,709,778"
Michigan,2016,"5,575,128"
Minnesota,2016,"3,698,363"
Mississippi,2016,"1,580,050"
Missouri,2016,"3,700,536"
Montana,2016,"667,552"
Nebraska,2016,"1,311,043"
Nevada,2016,"1,723,954"
New Hampshire,2016,"873,180"
New Jersey,2016,"5,391,704"
New Mexico,2016,"1,092,637"
New York,2016,"12,258,958"
North Carolina,2016,"5,828,879"
North Dakota,2016,"576,615"
Ohio,2016,"6,932,002"
Oklahoma,2016,"2,286,070"
Oregon,2016,"2,449,802"
Pennsylvania,2016,"7,593,573"
Rhode Island,2016,"632,399"
South Carolina,2016,"2,699,902"
South Dakota,2016,"597,372"
Tennessee,2016,"3,950,400"
Texas,2016,"16,684,682"
Utah,2016,"1,933,657"
Vermont,2016,"433,808"
Virginia,2016,"5,142,525"
Washington,2016,"4,310,239"
West Virginia,2016,"889,595"
Wisconsin,2016,"3,657,646"
Wyoming,2016,"398,265"
Alabama,2017,"2,653,968"
Alaska,2017,"456,799"
Arizona,2017,"3,751,283"
Arkansas,2017,"1,644,432"
California,2017,"23,610,226"
Colorado,2017,"3,768,593"
Connecticut,2017,"2,304,746"
Delaware,2017,"586,045"
District of Columbia,2017,"902,940"
Florida,2017,"12,130,376"
Georgia,2017,"6,140,776"
Hawaii,2017,"920,376"
Idaho,2017,"1,009,682"
Illinois,2017,"7,839,160"
Indiana,2017,"3,912,817"
Iowa,2017,"2,066,284"
Kansas,2017,"1,917,326"
Kentucky,2017,"2,524,927"
Louisiana,2017,"2,701,947"
Maine,2017,"836,117"
Maryland,2017,"3,702,196"
Massachusetts,2017,"4,788,192"
Michigan,2017,"5,643,225"
Minnesota,2017,"3,743,706"
Mississippi,2017,"1,593,678"
Missouri,2017,"3,742,873"
Montana,2017,"675,503"
Nebraska,2017,"1,320,856"
Nevada,2017,"1,782,895"
New Hampshire,2017,"883,500"
New Jersey,2017,"5,464,627"
New Mexico,2017,"1,097,669"
New York,2017,"12,408,724"
North Carolina,2017,"5,933,790"
North Dakota,2017,"575,020"
Ohio,2017,"7,005,100"
Oklahoma,2017,"2,294,185"
Oregon,2017,"2,522,273"
Pennsylvania,2017,"7,677,266"
Rhode Island,2017,"639,244"
South Carolina,2017,"2,766,293"
South Dakota,2017,"603,150"
Tennessee,2017,"4,041,451"
Texas,2017,"17,159,034"
Utah,2017,"1,997,317"
Vermont,2017,"436,990"
Virginia,2017,"5,229,218"
Washington,2017,"4,441,946"
West Virginia,2017,"890,055"
Wisconsin,2017,"3,686,510"
Wyoming,2017,"399,994"
Alabama,2018,"2,691,517"
Alaska,2018,"459,178"
Arizona,2018,"3,859,137"
Arkansas,2018,"1,663,188"
California,2018,"24,218,195"
Colorado,2018,"3,864,154"
Connecticut,2018,"2,327,354"
Delaware,2018,"595,526"
District of Columbia,2018,"915,637"
Florida,2018,"12,462,208"
Georgia,2018,"6,274,450"
Hawaii,2018,"931,153"
Idaho,2018,"1,038,735"
Illinois,2018,"7,952,370"
Indiana,2018,"3,967,404"
Iowa,2018,"2,087,993"
Kansas,2018,"1,941,000"
Kentucky,2018,"2,549,975"
Louisiana,2018,"2,733,239"
Maine,2018,"848,459"
Maryland,2018,"3,762,122"
Massachusetts,2018,"4,872,851"
Michigan,2018,"5,728,602"
Minnesota,2018,"3,795,762"
Mississippi,2018,"1,605,827"
Missouri,2018,"3,779,836"
Montana,2018,"685,116"
Nebraska,2018,"1,335,240"
Nevada,2018,"1,843,815"
New Hampshire,2018,"894,943"
New Jersey,2018,"5,557,626"
New Mexico,2018,"1,115,574"
New York,2018,"12,692,603"
North Carolina,2018,"6,055,208"
North Dakota,2018,"581,856"
Ohio,2018,"7,092,980"
Oklahoma,2018,"2,330,982"
Oregon,2018,"2,582,370"
Pennsylvania,2018,"7,798,395"
Rhode Island,2018,"648,340"
South Carolina,2018,"2,842,433"
South Dakota,2018,"611,638"
Tennessee,2018,"4,119,516"
Texas,2018,"17,598,844"
Utah,2018,"2,060,938"
Vermont,2018,"440,670"
Virginia,2018,"5,325,308"
Washington,2018,"4,560,332"
West Virginia,2018,"903,962"
Wisconsin,2018,"3,736,429"
Wyoming,2018,"405,010"
