County Name,Year,Total Employments
"Bethel Census Area, AK*",2011,"8,623"
"Bristol Bay Borough, AK",2011,"1,805"
"Denali Borough, AK*",2011,"2,165"
"Dillingham Census Area, AK*",2011,"3,564"
"Fairbanks North Star Borough, AK",2011,"58,909"
"Haines Borough, AK",2011,"1,715"
"Hoonah-Angoon Census Area, AK*",2011,"1,218"
"Juneau City and Borough, AK",2011,"23,417"
"Kenai Peninsula Borough, AK",2011,"30,798"
"Ketchikan Gateway Borough, AK*",2011,"10,095"
"Kodiak Island Borough, AK",2011,"9,832"
"Kusilvak Census Area, AK*",2011,"2,979"
"Lake and Peninsula Borough, AK*",2011,"1,160"
"Matanuska-Susitna Borough, AK",2011,"33,158"
"Nome Census Area, AK*",2011,"4,743"
"North Slope Borough, AK",2011,"14,270"
"Northwest Arctic Borough, AK",2011,"3,240"
"Petersburg Borough, AK*",2011,"2,810"
"Prince of Wales-Hyder Census Area, AK*",2011,"2,804"
"Sitka City and Borough, AK",2011,"6,426"
"Skagway Municipality, AK*",2011,962
"Southeast Fairbanks Census Area, AK*",2011,"3,902"
"Valdez-Cordova Census Area, AK*",2011,"6,956"
"Wrangell City and Borough, AK*",2011,"1,423"
"Yakutat City and Borough, AK*",2011,496
"Yukon-Koyukuk Census Area, AK*",2011,"2,719"
"Apache, AZ",2011,"28,943"
"Cochise, AZ",2011,"56,143"
"Coconino, AZ",2011,"76,961"
"Gila, AZ",2011,"20,513"
"Graham, AZ",2011,"11,442"
"Greenlee, AZ",2011,"4,209"
"La Paz, AZ",2011,"7,170"
"Maricopa, AZ",2011,"2,181,411"
"Mohave, AZ",2011,"64,077"
"Navajo, AZ",2011,"39,758"
"Pima, AZ",2011,"477,616"
"Pinal, AZ",2011,"83,256"
"Santa Cruz, AZ",2011,"19,501"
"Yavapai, AZ",2011,"87,057"
"Yuma, AZ",2011,"80,988"
"Arkansas, AR",2011,"13,212"
"Ashley, AR",2011,"10,792"
"Baxter, AR",2011,"20,737"
"Benton, AR",2011,"125,953"
"Boone, AR",2011,"20,685"
"Bradley, AR",2011,"4,762"
"Calhoun, AR",2011,"3,305"
"Carroll, AR",2011,"15,490"
"Chicot, AR",2011,"4,943"
"Clark, AR",2011,"12,594"
"Clay, AR",2011,"5,954"
"Cleburne, AR",2011,"11,879"
"Cleveland, AR",2011,"2,015"
"Columbia, AR",2011,"12,022"
"Conway, AR",2011,"10,495"
"Craighead, AR",2011,"59,522"
"Crawford, AR",2011,"26,874"
"Crittenden, AR",2011,"22,727"
"Cross, AR",2011,"8,117"
"Dallas, AR",2011,"3,784"
"Desha, AR",2011,"6,602"
"Drew, AR",2011,"9,268"
"Faulkner, AR",2011,"57,234"
"Franklin, AR",2011,"7,007"
"Fulton, AR",2011,"3,935"
"Garland, AR",2011,"51,177"
"Grant, AR",2011,"6,114"
"Greene, AR",2011,"19,250"
"Hempstead, AR",2011,"11,357"
"Hot Spring, AR",2011,"12,127"
"Howard, AR",2011,"9,390"
"Independence, AR",2011,"20,599"
"Izard, AR",2011,"5,471"
"Jackson, AR",2011,"7,546"
"Jefferson, AR",2011,"40,701"
"Johnson, AR",2011,"11,597"
"Lafayette, AR",2011,"2,301"
"Lawrence, AR",2011,"6,815"
"Lee, AR",2011,"3,523"
"Lincoln, AR",2011,"4,524"
"Little River, AR",2011,"5,538"
"Logan, AR",2011,"8,535"
"Lonoke, AR",2011,"21,294"
"Madison, AR",2011,"6,365"
"Marion, AR",2011,"6,046"
"Miller, AR",2011,"18,603"
"Mississippi, AR",2011,"24,091"
"Monroe, AR",2011,"3,575"
"Montgomery, AR",2011,"3,197"
"Nevada, AR",2011,"3,505"
"Newton, AR",2011,"2,857"
"Ouachita, AR",2011,"10,442"
"Perry, AR",2011,"3,150"
"Phillips, AR",2011,"8,951"
"Pike, AR",2011,"4,097"
"Poinsett, AR",2011,"8,388"
"Polk, AR",2011,"9,823"
"Pope, AR",2011,"35,755"
"Prairie, AR",2011,"2,861"
"Pulaski, AR",2011,"313,321"
"Randolph, AR",2011,"7,577"
"St. Francis, AR",2011,"11,864"
"Saline, AR",2011,"33,897"
"Scott, AR",2011,"4,753"
"Searcy, AR",2011,"3,607"
"Sebastian, AR",2011,"83,834"
"Sevier, AR",2011,"7,028"
"Sharp, AR",2011,"6,690"
"Stone, AR",2011,"4,955"
"Union, AR",2011,"23,943"
"Van Buren, AR",2011,"6,356"
"Washington, AR",2011,"124,522"
"White, AR",2011,"37,650"
"Woodruff, AR",2011,"3,035"
"Yell, AR",2011,"9,443"
"Alameda, CA",2011,"865,987"
"Alpine, CA",2011,"1,046"
"Amador, CA",2011,"17,471"
"Butte, CA",2011,"97,756"
"Calaveras, CA",2011,"14,752"
"Colusa, CA",2011,"11,096"
"Contra Costa, CA",2011,"479,634"
"Del Norte, CA",2011,"10,474"
"El Dorado, CA",2011,"78,508"
"Fresno, CA",2011,"426,268"
"Glenn, CA",2011,"11,550"
"Humboldt, CA",2011,"67,088"
"Imperial, CA",2011,"73,804"
"Inyo, CA",2011,"10,338"
"Kern, CA",2011,"361,933"
"Kings, CA",2011,"56,158"
"Lake, CA",2011,"22,504"
"Lassen, CA",2011,"13,027"
"Los Angeles, CA",2011,"5,479,684"
"Madera, CA",2011,"57,253"
"Marin, CA",2011,"178,735"
"Mariposa, CA",2011,"7,810"
"Mendocino, CA",2011,"44,771"
"Merced, CA",2011,"88,469"
"Modoc, CA",2011,"3,982"
"Mono, CA",2011,"9,838"
"Monterey, CA",2011,"221,085"
"Napa, CA",2011,"89,319"
"Nevada, CA",2011,"50,003"
"Orange, CA",2011,"1,919,034"
"Placer, CA",2011,"189,950"
"Plumas, CA",2011,"9,501"
"Riverside, CA",2011,"827,299"
"Sacramento, CA",2011,"752,768"
"San Benito, CA",2011,"20,458"
"San Bernardino, CA",2011,"850,962"
"San Diego, CA",2011,"1,828,222"
"San Francisco, CA",2011,"731,875"
"San Joaquin, CA",2011,"269,966"
"San Luis Obispo, CA",2011,"151,009"
"San Mateo, CA",2011,"459,071"
"Santa Barbara, CA",2011,"250,715"
"Santa Clara, CA",2011,"1,139,445"
"Santa Cruz, CA",2011,"138,208"
"Shasta, CA",2011,"84,116"
"Sierra, CA",2011,"1,137"
"Siskiyou, CA",2011,"19,896"
"Solano, CA",2011,"169,810"
"Sonoma, CA",2011,"263,452"
"Stanislaus, CA",2011,"212,134"
"Sutter, CA",2011,"36,712"
"Tehama, CA",2011,"22,020"
"Trinity, CA",2011,"4,521"
"Tulare, CA",2011,"184,762"
"Tuolumne, CA",2011,"24,553"
"Ventura, CA",2011,"430,069"
"Yolo, CA",2011,"118,162"
"Yuba, CA",2011,"25,851"
"Adams, CO*",2011,"215,652"
"Alamosa, CO",2011,"10,469"
"Arapahoe, CO",2011,"384,956"
"Archuleta, CO",2011,"7,240"
"Baca, CO",2011,"2,676"
"Bent, CO",2011,"2,054"
"Boulder, CO*",2011,"234,434"
"Broomfield, CO*",2011,"41,130"
"Chaffee, CO",2011,"10,664"
"Cheyenne, CO",2011,"1,579"
"Clear Creek, CO",2011,"4,326"
"Conejos, CO",2011,"3,039"
"Costilla, CO",2011,"1,406"
"Crowley, CO",2011,"1,743"
"Custer, CO",2011,"2,180"
"Delta, CO",2011,"14,827"
"Denver, CO",2011,"544,944"
"Dolores, CO",2011,"1,015"
"Douglas, CO",2011,"153,069"
"Eagle, CO",2011,"41,171"
"Elbert, CO",2011,"7,920"
"El Paso, CO",2011,"366,584"
"Fremont, CO",2011,"19,343"
"Garfield, CO",2011,"37,385"
"Gilpin, CO",2011,"6,372"
"Grand, CO",2011,"10,250"
"Gunnison, CO",2011,"12,091"
"Hinsdale, CO",2011,628
"Huerfano, CO",2011,"3,305"
"Jackson, CO",2011,"1,005"
"Jefferson, CO*",2011,"309,269"
"Kiowa, CO",2011,"1,231"
"Kit Carson, CO",2011,"5,087"
"Lake, CO",2011,"3,025"
"La Plata, CO",2011,"37,081"
"Larimer, CO",2011,"193,349"
"Las Animas, CO",2011,"8,105"
"Lincoln, CO",2011,"3,407"
"Logan, CO",2011,"12,382"
"Mesa, CO",2011,"83,893"
"Mineral, CO",2011,815
"Moffat, CO",2011,"7,453"
"Montezuma, CO",2011,"14,165"
"Montrose, CO",2011,"22,037"
"Morgan, CO",2011,"16,422"
"Otero, CO",2011,"9,311"
"Ouray, CO",2011,"3,011"
"Park, CO",2011,"5,344"
"Phillips, CO",2011,"2,708"
"Pitkin, CO",2011,"22,515"
"Prowers, CO",2011,"7,193"
"Pueblo, CO",2011,"75,213"
"Rio Blanco, CO",2011,"4,733"
"Rio Grande, CO",2011,"6,680"
"Routt, CO",2011,"20,965"
"Saguache, CO",2011,"2,785"
"San Juan, CO",2011,525
"San Miguel, CO",2011,"7,737"
"Sedgwick, CO",2011,"1,423"
"Summit, CO",2011,"25,164"
"Teller, CO",2011,"11,583"
"Washington, CO",2011,"2,753"
"Weld, CO*",2011,"126,413"
"Yuma, CO",2011,"6,844"
"Fairfield, CT",2011,"621,735"
"Hartford, CT",2011,"629,927"
"Litchfield, CT",2011,"95,598"
"Middlesex, CT",2011,"94,003"
"New Haven, CT",2011,"482,732"
"New London, CT",2011,"168,024"
"Tolland, CT",2011,"62,221"
"Windham, CT",2011,"52,029"
"Kent, DE",2011,"83,855"
"New Castle, DE",2011,"348,576"
"Sussex, DE",2011,"97,969"
"District of Columbia, DC",2011,"826,761"
"Alachua, FL",2011,"153,699"
"Baker, FL",2011,"8,997"
"Bay, FL",2011,"96,586"
"Bradford, FL",2011,"9,201"
"Brevard, FL",2011,"257,435"
"Broward, FL",2011,"1,005,533"
"Calhoun, FL",2011,"4,355"
"Charlotte, FL",2011,"60,926"
"Citrus, FL",2011,"46,578"
"Clay, FL",2011,"61,669"
"Collier, FL",2011,"176,891"
"Columbia, FL",2011,"28,749"
"DeSoto, FL",2011,"12,687"
"Dixie, FL",2011,"3,775"
"Duval, FL",2011,"577,700"
"Escambia, FL",2011,"167,958"
"Flagler, FL",2011,"30,718"
"Franklin, FL",2011,"5,513"
"Gadsden, FL",2011,"17,768"
"Gilchrist, FL",2011,"4,832"
"Glades, FL",2011,"2,603"
"Gulf, FL",2011,"5,283"
"Hamilton, FL",2011,"4,487"
"Hardee, FL",2011,"10,912"
"Hendry, FL",2011,"17,208"
"Hernando, FL",2011,"53,825"
"Highlands, FL",2011,"37,769"
"Hillsborough, FL",2011,"769,145"
"Holmes, FL",2011,"6,311"
"Indian River, FL",2011,"69,292"
"Jackson, FL",2011,"19,956"
"Jefferson, FL",2011,"4,794"
"Lafayette, FL",2011,"2,337"
"Lake, FL",2011,"116,374"
"Lee, FL",2011,"292,596"
"Leon, FL",2011,"179,661"
"Levy, FL",2011,"13,249"
"Liberty, FL",2011,"2,817"
"Madison, FL",2011,"6,687"
"Manatee, FL",2011,"148,660"
"Marion, FL",2011,"129,797"
"Martin, FL",2011,"81,639"
"Miami-Dade, FL",2011,"1,468,645"
"Monroe, FL",2011,"54,536"
"Nassau, FL",2011,"27,411"
"Okaloosa, FL",2011,"117,932"
"Okeechobee, FL",2011,"14,661"
"Orange, FL",2011,"853,344"
"Osceola, FL",2011,"107,325"
"Palm Beach, FL",2011,"757,897"
"Pasco, FL",2011,"147,156"
"Pinellas, FL",2011,"514,908"
"Polk, FL",2011,"258,249"
"Putnam, FL",2011,"23,629"
"St. Johns, FL",2011,"86,260"
"St. Lucie, FL",2011,"97,624"
"Santa Rosa, FL",2011,"52,504"
"Sarasota, FL",2011,"203,828"
"Seminole, FL",2011,"218,395"
"Sumter, FL",2011,"32,744"
"Suwannee, FL",2011,"15,969"
"Taylor, FL",2011,"8,589"
"Union, FL",2011,"5,106"
"Volusia, FL",2011,"214,956"
"Wakulla, FL",2011,"8,908"
"Walton, FL",2011,"30,490"
"Washington, FL",2011,"8,596"
"Appling, GA",2011,"8,983"
"Atkinson, GA",2011,"2,646"
"Bacon, GA",2011,"4,845"
"Baker, GA",2011,961
"Baldwin, GA",2011,"21,335"
"Banks, GA",2011,"5,516"
"Barrow, GA",2011,"24,200"
"Bartow, GA",2011,"44,299"
"Ben Hill, GA",2011,"7,933"
"Berrien, GA",2011,"6,076"
"Bibb, GA",2011,"107,443"
"Bleckley, GA",2011,"5,049"
"Brantley, GA",2011,"3,787"
"Brooks, GA",2011,"4,223"
"Bryan, GA",2011,"10,433"
"Bulloch, GA",2011,"31,121"
"Burke, GA",2011,"9,704"
"Butts, GA",2011,"8,753"
"Calhoun, GA",2011,"2,071"
"Camden, GA",2011,"22,123"
"Candler, GA",2011,"4,283"
"Carroll, GA",2011,"52,978"
"Catoosa, GA",2011,"19,489"
"Charlton, GA",2011,"3,139"
"Chatham, GA",2011,"175,692"
"Chattahoochee, GA",2011,"19,865"
"Chattooga, GA",2011,"8,304"
"Cherokee, GA",2011,"80,399"
"Clarke, GA",2011,"83,667"
"Clay, GA",2011,"1,003"
"Clayton, GA",2011,"144,476"
"Clinch, GA",2011,"3,128"
"Cobb, GA",2011,"432,294"
"Coffee, GA",2011,"20,112"
"Colquitt, GA",2011,"20,058"
"Columbia, GA",2011,"46,172"
"Cook, GA",2011,"5,512"
"Coweta, GA",2011,"48,449"
"Crawford, GA",2011,"2,184"
"Crisp, GA",2011,"10,301"
"Dade, GA",2011,"4,918"
"Dawson, GA",2011,"11,362"
"Decatur, GA",2011,"12,520"
"DeKalb, GA",2011,"407,756"
"Dodge, GA",2011,"7,951"
"Dooly, GA",2011,"4,435"
"Dougherty, GA",2011,"60,955"
"Douglas, GA",2011,"54,586"
"Early, GA",2011,"5,612"
"Echols, GA",2011,707
"Effingham, GA",2011,"14,320"
"Elbert, GA",2011,"8,552"
"Emanuel, GA",2011,"9,619"
"Evans, GA",2011,"5,618"
"Fannin, GA",2011,"9,421"
"Fayette, GA",2011,"55,498"
"Floyd, GA",2011,"49,159"
"Forsyth, GA",2011,"82,545"
"Franklin, GA",2011,"10,788"
"Fulton, GA",2011,"949,580"
"Gilmer, GA",2011,"11,408"
"Glascock, GA",2011,813
"Glynn, GA",2011,"46,516"
"Gordon, GA",2011,"26,154"
"Grady, GA",2011,"8,845"
"Greene, GA",2011,"7,714"
"Gwinnett, GA",2011,"449,290"
"Habersham, GA",2011,"19,378"
"Hall, GA",2011,"95,786"
"Hancock, GA",2011,"2,635"
"Haralson, GA",2011,"9,840"
"Harris, GA",2011,"8,433"
"Hart, GA",2011,"9,353"
"Heard, GA",2011,"3,494"
"Henry, GA",2011,"80,173"
"Houston, GA",2011,"77,748"
"Irwin, GA",2011,"3,417"
"Jackson, GA",2011,"25,140"
"Jasper, GA",2011,"3,686"
"Jeff Davis, GA",2011,"6,158"
"Jefferson, GA",2011,"7,007"
"Jenkins, GA",2011,"2,244"
"Johnson, GA",2011,"2,683"
"Jones, GA",2011,"6,129"
"Lamar, GA",2011,"5,471"
"Lanier, GA",2011,"2,276"
"Laurens, GA",2011,"24,415"
"Lee, GA",2011,"8,626"
"Liberty, GA",2011,"42,535"
"Lincoln, GA",2011,"2,273"
"Long, GA",2011,"1,715"
"Lowndes, GA",2011,"63,747"
"Lumpkin, GA",2011,"10,547"
"McDuffie, GA",2011,"9,522"
"McIntosh, GA",2011,"3,448"
"Macon, GA",2011,"4,699"
"Madison, GA",2011,"6,929"
"Marion, GA",2011,"2,610"
"Meriwether, GA",2011,"7,967"
"Miller, GA",2011,"2,598"
"Mitchell, GA",2011,"10,733"
"Monroe, GA",2011,"10,455"
"Montgomery, GA",2011,"2,631"
"Morgan, GA",2011,"9,806"
"Murray, GA",2011,"12,739"
"Muscogee, GA",2011,"128,510"
"Newton, GA",2011,"33,636"
"Oconee, GA",2011,"14,693"
"Oglethorpe, GA",2011,"3,529"
"Paulding, GA",2011,"32,869"
"Peach, GA",2011,"12,216"
"Pickens, GA",2011,"11,721"
"Pierce, GA",2011,"6,182"
"Pike, GA",2011,"4,960"
"Polk, GA",2011,"16,072"
"Pulaski, GA",2011,"4,386"
"Putnam, GA",2011,"8,993"
"Quitman, GA",2011,625
"Rabun, GA",2011,"7,501"
"Randolph, GA",2011,"2,865"
"Richmond, GA",2011,"133,771"
"Rockdale, GA",2011,"42,498"
"Schley, GA",2011,"1,627"
"Screven, GA",2011,"5,260"
"Seminole, GA",2011,"3,562"
"Spalding, GA",2011,"29,939"
"Stephens, GA",2011,"12,583"
"Stewart, GA",2011,"1,882"
"Sumter, GA",2011,"15,114"
"Talbot, GA",2011,"1,453"
"Taliaferro, GA",2011,453
"Tattnall, GA",2011,"8,595"
"Taylor, GA",2011,"2,803"
"Telfair, GA",2011,"5,167"
"Terrell, GA",2011,"3,621"
"Thomas, GA",2011,"27,892"
"Tift, GA",2011,"24,373"
"Toombs, GA",2011,"15,064"
"Towns, GA",2011,"5,172"
"Treutlen, GA",2011,"2,022"
"Troup, GA",2011,"43,531"
"Turner, GA",2011,"3,555"
"Twiggs, GA",2011,"2,000"
"Union, GA",2011,"9,805"
"Upson, GA",2011,"9,864"
"Walker, GA",2011,"20,712"
"Walton, GA",2011,"28,668"
"Ware, GA",2011,"19,134"
"Warren, GA",2011,"1,960"
"Washington, GA",2011,"9,399"
"Wayne, GA",2011,"11,497"
"Webster, GA",2011,830
"Wheeler, GA",2011,"2,132"
"White, GA",2011,"10,219"
"Whitfield, GA",2011,"64,944"
"Wilcox, GA",2011,"2,467"
"Wilkes, GA",2011,"4,508"
"Wilkinson, GA",2011,"4,101"
"Worth, GA",2011,"5,987"
"Hawaii, HI",2011,"95,454"
"Honolulu, HI",2011,"603,599"
"Kauai, HI",2011,"40,863"
"Maui + Kalawao, HI*",2011,"95,096"
"Ada, ID",2011,"267,538"
"Adams, ID",2011,"2,013"
"Bannock, ID",2011,"44,145"
"Bear Lake, ID",2011,"3,153"
"Benewah, ID",2011,"4,790"
"Bingham, ID",2011,"21,620"
"Blaine, ID",2011,"19,440"
"Boise, ID",2011,"2,579"
"Bonner, ID",2011,"20,505"
"Bonneville, ID",2011,"60,551"
"Boundary, ID",2011,"5,433"
"Butte, ID",2011,"9,209"
"Camas, ID",2011,685
"Canyon, ID",2011,"76,232"
"Caribou, ID",2011,"4,614"
"Cassia, ID",2011,"13,851"
"Clark, ID",2011,501
"Clearwater, ID",2011,"4,177"
"Custer, ID",2011,"2,920"
"Elmore, ID",2011,"12,674"
"Franklin, ID",2011,"5,885"
"Fremont (includes Yellowstone Park), ID",2011,"5,439"
"Gem, ID",2011,"6,124"
"Gooding, ID",2011,"8,266"
"Idaho, ID",2011,"7,431"
"Jefferson, ID",2011,"10,380"
"Jerome, ID",2011,"10,899"
"Kootenai, ID",2011,"75,818"
"Latah, ID",2011,"20,914"
"Lemhi, ID",2011,"4,273"
"Lewis, ID",2011,"2,557"
"Lincoln, ID",2011,"2,485"
"Madison, ID",2011,"18,767"
"Minidoka, ID",2011,"9,260"
"Nez Perce, ID",2011,"25,714"
"Oneida, ID",2011,"2,107"
"Owyhee, ID",2011,"4,302"
"Payette, ID",2011,"9,587"
"Power, ID",2011,"4,551"
"Shoshone, ID",2011,"6,209"
"Teton, ID",2011,"4,981"
"Twin Falls, ID",2011,"45,145"
"Valley, ID",2011,"6,187"
"Washington, ID",2011,"4,630"
"Adams, IL",2011,"42,607"
"Alexander, IL",2011,"2,532"
"Bond, IL",2011,"7,166"
"Boone, IL",2011,"19,343"
"Brown, IL",2011,"4,169"
"Bureau, IL",2011,"16,800"
"Calhoun, IL",2011,"1,850"
"Carroll, IL",2011,"6,884"
"Cass, IL",2011,"8,127"
"Champaign, IL",2011,"123,616"
"Christian, IL",2011,"15,559"
"Clark, IL",2011,"7,283"
"Clay, IL",2011,"7,514"
"Clinton, IL",2011,"16,532"
"Coles, IL",2011,"30,694"
"Cook, IL",2011,"3,228,532"
"Crawford, IL",2011,"11,893"
"Cumberland, IL",2011,"4,349"
"DeKalb, IL",2011,"51,114"
"De Witt, IL",2011,"7,593"
"Douglas, IL",2011,"11,567"
"DuPage, IL",2011,"727,180"
"Edgar, IL",2011,"8,283"
"Edwards, IL",2011,"3,882"
"Effingham, IL",2011,"26,526"
"Fayette, IL",2011,"9,047"
"Ford, IL",2011,"6,828"
"Franklin, IL",2011,"14,151"
"Fulton, IL",2011,"12,784"
"Gallatin, IL",2011,"2,144"
"Greene, IL",2011,"4,855"
"Grundy, IL",2011,"21,938"
"Hamilton, IL",2011,"3,221"
"Hancock, IL",2011,"7,597"
"Hardin, IL",2011,"1,551"
"Henderson, IL",2011,"2,282"
"Henry, IL",2011,"20,253"
"Iroquois, IL",2011,"13,463"
"Jackson, IL",2011,"37,235"
"Jasper, IL",2011,"4,511"
"Jefferson, IL",2011,"24,869"
"Jersey, IL",2011,"7,635"
"Jo Daviess, IL",2011,"12,492"
"Johnson, IL",2011,"4,043"
"Kane, IL",2011,"249,291"
"Kankakee, IL",2011,"53,599"
"Kendall, IL",2011,"37,250"
"Knox, IL",2011,"26,713"
"Lake, IL",2011,"441,638"
"LaSalle, IL",2011,"55,796"
"Lawrence, IL",2011,"6,326"
"Lee, IL",2011,"16,696"
"Livingston, IL",2011,"18,651"
"Logan, IL",2011,"12,635"
"McDonough, IL",2011,"17,390"
"McHenry, IL",2011,"134,737"
"McLean, IL",2011,"112,002"
"Macon, IL",2011,"65,204"
"Macoupin, IL",2011,"16,950"
"Madison, IL",2011,"126,705"
"Marion, IL",2011,"19,561"
"Marshall, IL",2011,"4,871"
"Mason, IL",2011,"5,391"
"Massac, IL",2011,"5,788"
"Menard, IL",2011,"4,087"
"Mercer, IL",2011,"5,711"
"Monroe, IL",2011,"12,905"
"Montgomery, IL",2011,"13,285"
"Morgan, IL",2011,"18,594"
"Moultrie, IL",2011,"6,185"
"Ogle, IL",2011,"23,221"
"Peoria, IL",2011,"123,639"
"Perry, IL",2011,"7,612"
"Piatt, IL",2011,"5,872"
"Pike, IL",2011,"7,045"
"Pope, IL",2011,"1,299"
"Pulaski, IL",2011,"2,917"
"Putnam, IL",2011,"2,411"
"Randolph, IL",2011,"15,194"
"Richland, IL",2011,"9,411"
"Rock Island, IL",2011,"92,307"
"St. Clair, IL",2011,"129,299"
"Saline, IL",2011,"12,919"
"Sangamon, IL",2011,"124,989"
"Schuyler, IL",2011,"3,228"
"Scott, IL",2011,"1,908"
"Shelby, IL",2011,"8,703"
"Stark, IL",2011,"2,293"
"Stephenson, IL",2011,"25,371"
"Tazewell, IL",2011,"74,839"
"Union, IL",2011,"7,189"
"Vermilion, IL",2011,"38,010"
"Wabash, IL",2011,"5,486"
"Warren, IL",2011,"8,675"
"Washington, IL",2011,"11,882"
"Wayne, IL",2011,"8,348"
"White, IL",2011,"7,926"
"Whiteside, IL",2011,"27,818"
"Will, IL",2011,"281,923"
"Williamson, IL",2011,"35,468"
"Winnebago, IL",2011,"162,708"
"Woodford, IL",2011,"15,735"
"Adams, IN",2011,"18,831"
"Allen, IN",2011,"224,934"
"Bartholomew, IN",2011,"54,100"
"Benton, IN",2011,"3,888"
"Blackford, IN",2011,"4,800"
"Boone, IN",2011,"31,389"
"Brown, IN",2011,"5,796"
"Carroll, IN",2011,"7,533"
"Cass, IN",2011,"18,618"
"Clark, IN",2011,"59,735"
"Clay, IN",2011,"10,639"
"Clinton, IN",2011,"14,519"
"Crawford, IN",2011,"3,572"
"Daviess, IN",2011,"16,254"
"Dearborn, IN",2011,"20,610"
"Decatur, IN",2011,"15,097"
"DeKalb, IN",2011,"24,360"
"Delaware, IN",2011,"58,559"
"Dubois, IN",2011,"33,053"
"Elkhart, IN",2011,"130,784"
"Fayette, IN",2011,"8,932"
"Floyd, IN",2011,"38,265"
"Fountain, IN",2011,"7,740"
"Franklin, IN",2011,"7,376"
"Fulton, IN",2011,"9,813"
"Gibson, IN",2011,"21,331"
"Grant, IN",2011,"34,319"
"Greene, IN",2011,"11,102"
"Hamilton, IN",2011,"160,834"
"Hancock, IN",2011,"29,618"
"Harrison, IN",2011,"16,472"
"Hendricks, IN",2011,"70,776"
"Henry, IN",2011,"17,057"
"Howard, IN",2011,"45,557"
"Huntington, IN",2011,"18,922"
"Jackson, IN",2011,"23,654"
"Jasper, IN",2011,"15,381"
"Jay, IN",2011,"10,984"
"Jefferson, IN",2011,"15,980"
"Jennings, IN",2011,"10,317"
"Johnson, IN",2011,"61,341"
"Knox, IN",2011,"21,678"
"Kosciusko, IN",2011,"45,151"
"Lagrange, IN",2011,"18,347"
"Lake, IN",2011,"241,756"
"LaPorte, IN",2011,"53,913"
"Lawrence, IN",2011,"18,451"
"Madison, IN",2011,"52,513"
"Marion, IN",2011,"693,074"
"Marshall, IN",2011,"23,606"
"Martin, IN",2011,"8,848"
"Miami, IN",2011,"13,230"
"Monroe, IN",2011,"85,804"
"Montgomery, IN",2011,"19,547"
"Morgan, IN",2011,"22,162"
"Newton, IN",2011,"5,280"
"Noble, IN",2011,"22,697"
"Ohio, IN",2011,"2,272"
"Orange, IN",2011,"9,870"
"Owen, IN",2011,"7,505"
"Parke, IN",2011,"5,435"
"Perry, IN",2011,"8,448"
"Pike, IN",2011,"4,568"
"Porter, IN",2011,"75,432"
"Posey, IN",2011,"11,706"
"Pulaski, IN",2011,"6,451"
"Putnam, IN",2011,"16,531"
"Randolph, IN",2011,"10,387"
